stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,23.7,11.43,0,0,0,0
 14-21,0.81,2.69,0,1.94,0,0,0,0,0,0,0,0,12.25,0,0,0,9.11,0
 24-34,0,0,0,2.75,0,0,0,0,0,0,1.7,0,22.3,0,0,0,3.66,0
 36-46,0,0,0,2.36,0,0,0,0,0,0,0,0,17.93,0,0,0,5.15,0.61
 48-58,0,0,0,9.68,0,0.9,0,0,0,0,0,0.4,7.66,0,0,0,3.59,0
 60-70,0.62,0,0,3.64,0,2.53,0,0,0.73,0,0,0,18.26,0,0,0,1.57,0
 72-82,0,0,0,5.21,1.82,0,0,0,0,0,2.47,0,3.64,0,0,2.08,3.95,0
 84-94,0,0,0,5.98,0,0,0,1.97,0,0.58,0,0,2.46,0,0,0,0,0.64
 96-106,0,0,0.66,12.41,0,0,0,0,0,0,3.73,0,4.79,0,0,2.69,0,0
108-118,0,0,0,3.75,0,0,3.89,0,0,0,3.92,0,13.39,0,0,2.6,0,0
120,2.14,0,0,3.75,0,0,0,0,0,0,0,0,20.45,0,11.51,0,0,0
