stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,1.98,7.84,2.54,3.73,0,2.36,0,0,0,0,0,8.46,0,0,7.09,71.44,5.32,0,0.96,0.83,2.29,13.23,0,4.21,22.62,2.74,0
 24-34,0,0,0,28.92,0,7.17,0,0,0,0,0.78,23.1,0.71,0,3.95,248.75,0,0,0,0,1.95,0,0,1.46,38.26,2.72,0
 36-46,0,3.03,1.56,109.51,0.64,5.4,0,0,0,0,0,13.68,0,0,6.78,196.03,0,0.61,0,0,0,0,1.68,0,40.15,5.08,0
 48-58,0,0,0,107.83,0,3.44,0,0,0,0,0,21.37,0,0,2.31,81.47,0,0,0,0,0.93,0,0,0,6.99,0,5.02
 60-70,0,1.17,0,96.59,0,11.39,0,0,0.72,0,1.12,10.03,0,3.92,0.95,83.97,0,0,1.67,0,0,0,0,0,6.32,1.99,0
 72-82,0,2.9,0,17.89,0,1.55,0.7,2.28,0,0.93,0,9.97,0,0,1.07,18.35,0,0,0,0,0.6,0,0,0,0.58,0,0
 84-94,0,0.95,0,25.99,0,4.19,1.39,0,0,0,0,13.33,0,0,3.82,16.6,0,0,0,0,0,0,0,0,0.95,1.58,0
 96-106,0,2.01,0,8.34,0,2.32,0,0,0,0,0,1.85,0,0,1.59,9.12,0,0.69,0,0,0,0,0,0,0,3.94,2.76
108-118,0,0,1.49,17.69,0,5.13,0.79,0,0,0,0,2.03,0,0,0,14.81,0,0,0,0,0,0,0,0,0,1.99,0
120,0,0,6.51,33.14,0,1.18,3.28,0,1.49,0,0,5.63,0,0,0,63.22,0,0,0,0,0,0,0,0,0,0,0
