stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.89,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,44.36,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,17.15,13.64,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.56,3.45,0.86,0,0,0,1.02,0,0,2.51,0,1.91,0,0,0,0,4.71,0,0,1.14,75.17,0,0,1.11,1.12,0,0,0,4.61,0.82,0,2.09,51.25,0,0,10.01,0,0
 24-34,0,1.92,0,2.15,3.38,5.26,0,0,0,9.88,1.08,0,4.99,0,12.88,0,0,0,0,2.73,15.36,0,4.87,407.78,0,8.24,3.81,0,0,0,0,0,0,0,0,172.3,0,0,35.8,0,0
 36-46,0,0.98,0,0,0,48.98,2.66,0,0,5.17,1.18,0,0,0,6.2,0,0,0,0,5.35,4.65,0,1.22,1139.99,0,4.88,2.72,0,0,0,0.73,0,1.99,0,0,283.32,0,0,8.81,0,0
 48-58,0,1.19,0,11.29,0,151.01,0,0.59,0,16.57,1.71,0,0,0.85,12.28,0,0.79,0,0,1.89,5.7,3.13,4.33,1297.83,0,4.7,10.28,0,0.56,0,0,0,0.4,1.43,0,283.69,0,0,8.88,0,0
 60-70,0,19.97,0,5.07,0,518.04,4.22,0,0,33.44,12.68,0,0,6.5,3.77,0,12.05,7.26,0,6.06,6.3,0,1.74,1854.28,0,3.82,11.65,0,0,3.81,0,0,0.58,0,0,290.77,0,0,9.02,1.24,0
 72-82,0,10.8,0,11.98,0.57,799.13,1.84,0,0.94,46.18,31.76,0,0.66,1.12,10.27,2.8,1.52,0,0,27.42,20.45,4.26,6.98,1142.29,0,8.16,13.22,0,0,2.43,0,0,0,0,0,160.55,3.98,0.93,11.32,4.45,3.35
 84-94,0,15.35,0,14.37,0,763.86,4.65,0,1.78,36.67,35.93,0,0,1.24,11.33,1.29,5.19,0,4.93,25.61,37.07,0,2.7,774.04,0,2.26,32.94,0,0,2.97,0,0,1.07,0,0,98.33,0.6,3.94,7.61,5.2,0
 96-106,0,10.18,0,28.54,5.3,1090.72,0.64,0,0,47.36,65.32,0,0,1.52,7.77,0.66,12.25,16.4,5.42,46.39,24.56,0.63,2.89,665.25,0,4.86,22.3,0,0,6.47,0.76,0,0,0.64,0,46.31,0,0,19.1,11.34,14.6
108-118,0,2.64,0,48.29,0,836.07,7.08,2.63,0,42.71,82.45,0,0,1.47,21.12,0.85,4.97,1.35,27.98,58.57,44.21,0,2.76,861.17,0,2.28,20.63,0,0,3.8,0,0,2.01,0,0,31.6,1.45,4.55,10.75,9.25,8.59
120,0,14.02,0,21.44,0,937.84,13.12,0,0,167.74,88.64,0,0,0,30.66,2.76,9.82,2.32,12.6,51.56,13.6,13.04,5,915.74,0,2.2,47.81,0,0,29.05,0,0,0,0,0,41.83,4.11,10.18,48.37,12.37,0
