stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,136.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,25.25,0,0,0,0,0,0,0,0,0
  7-9,129.29,4.1,0,266.18,0,0,0,10.92,0,0,0,0,0,19.69,0,0,0,0,0,0,0,0,0,0,0,325.62,55.51,0,0,58.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.18,0,173.9,0,8.6,0,9.43,0,0,0,0,0,21.37,0,0,0,0,0,0,0,0,0,0,0,652.09,481.74,0,0,90.36,0,4.52,0,9.12,0,0,0,0,0,0,0
 14-21,0,0,0.82,3.72,51.37,10.2,0,16.55,0,0,0,6.62,1.46,11.05,3.03,0,0,0.87,0.93,0,9.2,37.32,0,0,34.25,358.18,1600.27,14.05,2.11,12.99,0,0,17.34,1.04,31.21,114.36,0,0,39.85,0,22.45
 24-34,0,0,0.62,3.34,21.77,2.94,0,117.72,0,0.72,0.63,19.65,0.63,0,5.85,0,0,3.58,0.66,0.61,24.73,163.96,0,2.34,74.88,2046.27,437.38,62.81,6.39,0,0.99,6.01,3.3,0,3.94,369.94,0,0,225.59,0,155.18
 36-46,0,0,0,0,12.3,0.57,0,485.06,0,26.49,1.45,73.03,0,0,9.16,0,0,1.12,1.61,2.96,2.55,219.94,0,2.73,42.42,2644.92,241.42,48.99,1.73,0,0,1.41,0,7.84,0,480.93,0,0,122.17,1.55,225.72
 48-58,0.58,0,0.44,0.4,15.27,0,0,946.52,1.83,6.64,6,153.89,0,0,8.83,0,0,16.8,0.43,0,3.5,272.69,0,13.27,51.43,2139.37,102.98,23.25,2.24,0,3.8,3.91,0,0,0,336.76,0,1.73,138.97,0.72,319.75
 60-70,0,0,0.65,2.79,17.4,1.34,0,812.09,0,0.61,2.4,111.81,1.28,0,1.71,13.34,0,14.36,2.04,0,0,219.08,0,9.38,29.03,1300,4.41,14.86,0,0,0.84,2.02,0,0,0,152.12,0,10.14,121.77,1.54,272.23
 72-82,0,0,0.54,0,9.14,1.47,0,408.7,0.55,0.56,15.31,114.15,7.23,0,9.56,3.01,2.34,18.98,1.46,0.96,0.64,253.25,0.61,11.2,23.42,967.03,7.37,19.1,4.01,0,6.09,6.81,0,0,0,119.21,0,5.97,234.34,0.71,247.86
 84-94,5.55,0,1.01,0,10.59,0,0,337.56,0,1.83,2.66,75.4,5.77,0,3.43,3.18,2.38,28.22,0,0.88,2.65,181.71,0,15.81,27.49,653.45,2.64,20.15,3.4,0,3.03,2.13,0,0,0,81.71,1.83,1.88,140.67,5.75,218.71
 96-106,0,0,1.14,0,14.36,0,0,236.35,3.05,4.72,2.7,90.95,4.17,0,12.45,3.38,0.87,29.44,3.87,1.58,6.13,126.24,3.31,6.74,17.52,535.63,7.92,15.55,2.44,0,4.88,3.07,0,0.82,0,17.24,0.58,9.02,182.67,4.58,178.67
108-118,0,0,2.91,0.61,18.8,0,2.18,261.41,0,0.78,4.98,88.18,3.73,0,3.28,4.02,1.87,40.57,4.59,6.77,1.69,165.84,4.07,5.41,6.92,678.34,11.73,18.12,7.18,0,11.5,2.61,0,0.58,0,52.74,1.29,0,141.63,9.51,150
120,0,0,0,0,11.32,8.88,0,245.03,0,0,0,93.89,1.46,0,18.02,0,0,27.05,6.83,0,12.74,144.36,1.49,15.67,21.59,715.39,2.35,14.52,4.25,0,2.76,4.52,0,0,0,25.11,4.25,0,160.34,5.2,73.85
