stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.66,3.57,0,0,12.44,4.49,0,11.28,0,0,0,0,0,0,0
 14-21,0,2109.52,0,0,70.67,0,1.19,0,0,1.71,0,0,0,6.8,6.62,0.81,9.97,1.73,0,2.67,0,5,2.92,0,0,2.87,7.13,0,0,0,0
 24-34,0,285.6,0,2.13,363.63,0,0.63,0,0,0,0,0,1.9,0,6.84,0,30.46,1.14,0,0,0,113.12,0,0,0,0.67,4.06,0,3.26,0,0
 36-46,0,31.98,0,1.1,216.41,0,3.18,0,1.56,0,0.94,0,0,1.91,6.65,0.8,22.65,0,0,0,0,260.71,0,1.77,0,0,7.39,0,0,0,0
 48-58,0,17.64,0,2.1,300.32,0,5.91,1.09,0.47,4.32,0,0,0,2.75,10.41,0,29.96,0,0,0,0,262.2,0,0,0.63,0,8.69,0.61,1.42,0,0
 60-70,0,8.75,0,7.99,285,3.64,4.56,0,0,0,0,0,0,2.98,7.01,0,14.56,0,0.84,0,0,377.24,0,0.86,0,0,0,0,0,0,0
 72-82,0,9.46,0,5.5,283.13,1.17,0,0,0,0,0,0,0,2.8,6.09,0,22.14,0,1.55,0,0,264.85,0,0,0,0,1,0,1.04,0,0
 84-94,0,19.51,0,5.51,553.02,0,0,0.94,0,0,0,0,0,2.88,9.87,0,41.78,0,0,0,0,710.88,0,0,0,0,0,0,0,0,1.5
 96-106,0,46.12,1.21,8.6,444.99,1.11,4.43,0,0,1.61,0.73,0,0,6.33,3.52,1.09,13.89,0,0,0,0,258.96,0,0,0,0,0,1.82,0,1.85,0
108-118,0,31.47,0,0,435.72,6.54,2.01,0,0,0.5,0,0,0,5.51,17.67,0,22.8,0,0,0,0,129.12,0,0,0,0,0,0,0,0,0
120,0,29.65,0,0,475.24,0,2.03,0,0,0,0,1.02,0,0,1.39,0,4.36,0,0,0,0,109.84,0,0,0,0,0,8,0,0,0
