stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.72,35.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.72,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.74,4.42,0,0,34.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.94,0,0,2.69,0,0,0,0,1.01,0,0,0,0,0,0,0,2.44,7.04,29.6,0.87,0,0,0,1.81,1.82,6.4,8.04,6.48,0,0,1.04,0
 24-34,0,0,0,0,1.31,0,0,4.38,0,0,0.72,2.69,0,1.94,0,0,0,0,0,0,11.65,1.49,58.14,0,1.79,0,0,5.21,0,0,6.23,7.65,0,0,1.61,0
 36-46,0,0,0,0,3.83,0,0,13.18,6.28,0,0,2.18,0,0,0,0,0,0,0,0,6.41,2.06,48.36,0,0,0,0,18.67,0,0,0,14.82,0,0,8.36,0
 48-58,0,0,0,0,13.27,0,0,24.66,0.84,0,0.99,9.82,0,0.69,0.4,0,0.38,0,0.39,4.19,11.28,1.08,51.93,0.58,0,0,0,2.84,0,1.08,0,14.4,0,0,0,0
 60-70,0,0,0,0,2.6,0,0,20.11,0.64,0,0,21.62,0,0,0.58,0.58,0.85,0,0,0,12.56,1.29,66.44,0,0,2.92,0,4.88,0,0,0,7.96,3.21,0.57,0.87,0
 72-82,0,0,0,0,3.19,0,0,29.9,0,0,0.49,2.06,0.51,2.5,0,0,0,0,0,2.83,13.22,3.34,42.02,0,0,0,0,5.61,0,0,0,6.34,0.68,0.49,2.53,4.88
 84-94,0,0,1.48,0,0,0,0,17.15,0,1.15,0,2.27,3.07,0,2.65,0,0,0,0,0,5.56,3.74,32.79,0,0,1.94,0,13.24,0,0,0,0.59,0,0,0,0
 96-106,0,0,0,0,2.26,0,0,24.47,0,0.63,0,9.72,1.65,1.34,2.31,0,0.71,0,1.82,0,15.97,0,12.42,0.58,0,0,0,6.55,0,0,0,2.66,4.1,2.52,3.9,1.99
108-118,0,0,0,0,5.92,0,1.08,8.91,0,0,0,1.73,1.62,1.34,0.89,0,1.7,1.18,0,0,5.92,2.03,49.04,1.06,0,5.97,0,12.2,0,0.47,0,3.46,0,0,3.17,2.06
120,0,0,0,0,14.75,1.08,1.03,11.82,1.99,0,4.72,4.53,0,1.61,0,0,0,2.98,0,0,18.79,2.57,106.55,3.3,0,0,0,12.9,0,0,0,3.3,1.27,2.93,0,0
