stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,13.82,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.13,43.69,0,0,123.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.89,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,308.88,135.35,0,0,576.24,0,0,0,55.3,0,4.35,0,0,0,0,0,0
 14-21,0,0.96,17.37,1.34,0,0,0,0,12.65,0,0,0,0,0,0,0,0,1.29,12.24,0,0,22.23,112.38,107.6,0,0,6.09,0,0,60.88,3.63,41.17,39.16,131.47,0,0,0,0,0
 24-34,0,0.64,5.71,0,0.68,0,0,0,9.3,0,0,0,0,0,0,0.82,0,0,14.28,0,0,9.61,405.84,4.62,0,0,0,0,3.56,0,0.6,19.62,7.5,193.92,0,0,11.65,0,0.96
 36-46,0,0,1.74,0,9.16,0,2.27,0,7.82,1.33,0,0,0,0,0,3.94,4.06,0,31.32,0,0,12.65,667.53,0.66,0,0,0,0,2.08,0,0.58,2.12,0,301.22,0,0,3.56,0,3.73
 48-58,0,0,17.69,0,44.77,2.35,3.95,2.35,39.15,0,0,0.65,0,0,0,0.67,0,0,47.88,0,0.52,9.28,1202.01,2.46,0,0.97,0,0,6.1,0,0,0.46,0,346.65,0,0.42,0.58,0,0
 60-70,0,0,11.36,0,22.28,0,4.16,0,18.2,3.41,0,0,0,0,0,0,0,0,74.88,0,3.99,6.2,881.32,5.06,1.17,0,0,0,2.29,0,0.63,0,0,197.32,0,7.51,10.18,0.61,0
 72-82,0,0,7.83,2.24,28.17,0,0.61,5.66,27.76,0,0,0,0,0,0,1.38,0,0,94.75,0,3.91,16.29,741.81,1.53,0,1.24,0,0,1.57,0,0.63,0,0,117.08,0,11.03,5.85,0.73,8.23
 84-94,0,0,14.14,0,22.11,0,3.58,0.69,23.69,0,0,0,0,10.82,0,0.73,0,0,87.29,0,13.66,14.79,449.05,1.93,0,2.44,0,0,8.57,0,0,0,0,87.22,4.24,10.41,2.42,5.07,0
 96-106,0,0,16.8,0,5.49,0,2.21,0,19.37,1.35,0,0,0,0,0.74,1.04,0,0,101.98,1.9,1.09,12.22,321.33,0.66,0,0,0,1.6,8.41,0,1.72,0,0,35.98,0.61,8.22,6.91,3.71,0
108-118,0,0,11.33,0.99,10.87,0,5.57,5.62,12.56,0.43,0,0,0,2.02,1.5,1.46,0.56,0,93.96,0,11.86,3.78,335.07,2.3,0,0,0,0,3.41,0,0,0,0,56.51,0,8.67,3.11,2.4,0
120,0,0,7.4,0,19.35,0,4.11,0,38.12,2.87,0,0,1,5.09,0,0,0,0,76.65,0,23.61,9.72,372.08,15.28,0,0,0,0,12.08,0,0,0,0,99.23,0,0,0,8.42,0
