stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.71,921.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.15,0,0,0,0,0,0,0,0,0
  5-6,86.91,1375.89,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.16,0,0,0,42.96,0,8.22,0,0,0,0,0,0,0,0,0
  7-9,27.85,49.84,0,41.03,0,0,0,98.73,0,0,0,0,0,28.37,0,0,0,0,0,0,0,0,0,0,0,696.88,29.89,0,0,300.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,14.21,0,9.24,0,0,0,41.05,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,526.07,56.84,0,0,263.17,0,0,0,18.87,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.33,1.28,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,3.67,29.93,0,0,0,5.05,0,0,0.84,0,3.82,13.43,0,0,0,0,0
 24-34,0,0,0,0,4.57,2.15,0,27.96,0,0,0,5.52,0.64,0,1.37,1.98,0,0,0,0.77,0,36.07,0,0,14.83,296.41,1.27,0.63,2.95,0,0,1.06,0,0.69,4.9,78.57,0,0,14.63,0,0
 36-46,0,0,0,0,1.22,1.95,0,71.88,0,0,2.45,8.64,0.83,0,1.69,7.19,0,2.34,0,0,0,40.01,0,0,15.73,400.8,2.23,4.01,0,0,0.97,3.9,0,0,0,93.36,0,0,7.43,0,0
 48-58,0,0,0,0,9.96,2.21,0,174.66,0,0,2.12,40.88,0,0,1.41,2.2,0,0.42,0,0,4.92,89.76,0,2.22,11.87,593.84,0,5.07,0.82,0,0,0.63,0,0,0,97.48,0,0,7.16,0,20.67
 60-70,0,0,0,0,8.03,0,0,205.4,1.28,0,0.72,82.61,1.69,0,2.95,5.23,0,0.67,0,0,0,115.89,0,4.85,2.96,613.95,0.93,6.17,1.75,0,1.19,0,0,0,0,75.95,0,3.97,12.47,1.8,6.61
 72-82,0,0,3.67,0.75,3.87,5.74,0,373.85,1.43,0,12.66,113.12,0.55,0,4.08,7.49,2.2,0,7.62,5.43,13.86,222.03,0,22.09,21.07,799.08,0.53,10.91,7.45,0,0.8,0,0,1.73,0,87.17,1.87,4.81,40.55,3.66,5.43
 84-94,0,0,0,0,13.08,23.34,0,282.2,10.1,0,13.53,80.12,8.31,0,2.54,10.5,0,2.66,1.96,5.22,19.29,164.05,0,13.48,8.26,476.24,2.14,8.67,5.65,0,0,4.28,0,0.96,0,62.11,0.9,4.22,26.53,1.27,10.37
 96-106,0,0,1.82,0,12.1,21.63,0,231.9,0.64,2.93,8.5,106.32,3.89,0,4.91,22.07,0,7.69,2.64,0,7.14,226.46,2.84,8.04,23.55,385.53,1.47,9.41,5.96,0,4.72,3.58,0,1.36,0,38.02,0,13.14,30.19,8.59,36
108-118,0,0,1.21,0,21.27,17.17,5.23,214.71,6.53,1.05,3.75,100.1,0.5,0,11.06,17.3,2.3,26.95,4.07,0,3.11,183.54,0,11.09,10.28,372.97,2.77,3.44,8.99,0,4.3,2.52,0,0.53,0,17.46,1.15,10.09,27.82,7.59,25.12
120,1.19,0,0,0,7.88,20.45,0,202.27,6.51,0,3.89,188.89,1.73,5.2,3.39,52.34,0,11.3,0,0,1.79,209.44,0,24.51,28.12,451.56,0,21.77,14.75,0,7.1,1.89,0,2.79,0,18.21,0,2.09,44.22,2.27,31.93
