stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,6.12,136.4,29.49,0,33.95,0,1.95,0,10.99,10,7.07,0.89,0,4.85,0,0.92,8.39,1.65,52.78,0,0,27.28,609.11,37.03,0,5.45,12.36,0,27.45,1.53,52.16,11.13,3.5,40.94,162.9,0,0,7.03,0,4.13
 24-34,0,0,1.48,58.44,3.59,0,79.34,0,7.59,2.49,24.46,3.5,0,6.54,5.31,16.59,1.95,4.33,3.96,5.7,100.36,4.06,0,60.04,1322.53,9.45,29.21,12.76,0,0,94.48,0,0,4.73,1.14,20.63,352.68,0,0,53.15,0,12.97
 36-46,0,0,0,15.67,0,0,147.68,0,1.23,3.79,44.71,0,4.57,4.44,15.46,5.08,2.54,2.28,2.08,3.94,95.84,22.67,2.54,43.76,980.24,6.61,13.5,16.47,0,0,111.73,0,0,7.31,0,0,243.34,0,0,14.02,0,26.76
 48-58,0,0,0,21.83,0.39,0,310.68,1.08,2.12,5.55,139.64,5.23,0.37,3.48,8.05,1.16,13.34,1.92,0.8,23.77,166.76,4.68,2.61,26.65,1023.64,2.36,18.52,17.61,0,0,73.91,0,0,3.65,0,0,195.42,0,1.87,24.26,1.28,20.33
 60-70,2.52,1.96,0,16.99,0,0,385.3,0.76,5.58,8.77,97.96,6.63,0,0.7,15.3,5.07,4.03,3.94,0,0,166.31,0,2.1,9.56,688.25,16.47,13.91,8.79,0,0,78.82,0,0,2.75,2.58,0,110.45,0,0.99,20.57,0,0
 72-82,0,9.11,0,28.17,3.84,0,616.66,1.14,3.07,4.91,144.31,6.45,0,6.43,5.62,2.76,2.48,8.11,11.8,10.49,253.29,10.47,9.35,23.9,899.03,0.53,25.59,13.99,0,1.2,43.49,0,0,4.21,0,0,68.87,7.37,10.34,29.12,14.02,15.68
 84-94,0,6.62,1.04,41.03,4.75,3.12,445.89,3.84,6.06,15.47,91.7,14.72,1.3,0.78,10.5,4.04,2.66,12.14,11.88,2.3,196.67,5.79,11.46,18.73,529.36,3.25,12.58,15.58,0,4.43,112.2,1.4,0,2.29,0,0,32.01,5.57,3.53,20.8,12.49,18.2
 96-106,0,11.86,0,35.26,12.08,0.6,365.72,1.36,8.6,4.42,124.57,23.78,0,5.31,24.56,12.91,3.13,10.07,12.76,0.67,181.3,8.55,3.18,16.76,438.64,2.95,31.72,12.6,0,3.61,78.85,0,0,1.19,0,0,22.62,10.47,6.16,22.41,11.8,22.95
108-118,0,1.03,0,49.73,6.12,9.34,338.73,2.89,5.81,13.18,140.43,13.55,0,1.26,10.73,12.72,22.92,15.55,25.15,5.74,139.1,3.22,0.51,11.74,679.5,1.67,37.9,12.32,0,3.31,85.97,0,0,2.55,0.49,0,12.09,6.45,3.12,27.79,1.81,11.93
120,0,5.75,0,40.93,26.92,3.32,276.23,0,14.96,4.44,124.61,22.78,0,0,21.44,4.49,3.57,2.71,11.33,1.51,99.69,6.46,0,6.88,739.86,14.65,14.94,4.8,0,0,81.98,0,0,2.61,1.99,0,50.91,2.82,3.14,17.3,0,0
