stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,574.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0
  5-6,18.48,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.33,0,0,0,0,0,191.67,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,224.49,4.26,0,0,3.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.4,0,0,0,86.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.08,11.52,0,0,8.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,6.2,0,0.81,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,1.86,0,0,24.79,0,4.56
 24-34,0,0,0,0,1.28,0,0,9.95,0,0,0,0.72,0,0,0,0,0,4.22,0,0,45.39,0,0,0,0.68,39.2,0,12.11,7.04,0,6.54,0,5.96,0,0,45.17,0,28.69
 36-46,0,0,0,0,1.34,0,0,6.58,0,0,0,0,0,0,0,0,0,2.68,3.34,0,296.34,1.09,0,0,0,75.87,0,2.48,20.87,0,10.39,0,26.02,0,0,17.94,0,63.29
 48-58,0,0,0,0,0.38,0,0,52.37,0,0,7.19,0.43,0,0,0,0,0.61,15.62,1.03,0,251.85,4.21,0,0,0,92.78,0,7.46,17.81,0,1.12,0,17.69,0,0,12.66,0,38.17
 60-70,0,0,0,0,0.67,0,0,271.79,0,3.27,0,2.06,0,0,0,0,0,28.85,4.28,0,165.41,7.99,0,0,0,182.3,0,9.69,20.96,0,7.32,0,36.48,0,0,7.87,0,114.78
 72-82,0,0,0,0,11.16,7.29,0,759.26,3.65,0,8.81,22.59,3.98,0,0.66,1.17,0,28.84,13.72,0,96.35,34.18,0,0,0.78,211.2,0,18.36,29.34,0,2.3,2.8,25.88,0,0,18.98,0,54.41
 84-94,0,0,0,0,6.93,4.29,0,840.21,0,0,8.05,24.41,0,0,0,10.27,0.61,29.01,8.82,0,192.66,42.93,2.87,0,0,150.03,0,24.74,80.46,0,2.96,2.27,12.48,1.79,0.9,30.68,0,54.06
 96-106,0,0,0,0,15.11,2.58,0,1248.65,0,0,1.54,35.68,0,0,0,10.07,0,18.49,36.95,6.49,81.23,46.57,0,0,2.4,172.41,0,10.83,85.6,0,9.59,3.78,15.54,0,0,28.99,0,38.72
108-118,0,0,0.62,0,3.86,3.13,4.57,1143.64,0,0.53,12.25,41.31,4.68,0,0,9.04,0,54.33,19.1,0,146.46,29.83,0,0,4.71,240.79,0,21.84,61.92,0,5.4,5.45,22.28,0,0,19.39,0.65,43
120,0,0,10.11,0,10.05,0,0,891.46,0,0,0,98.34,1.18,0,0,11.12,0,28.73,13.17,9,109.3,58.01,0,11.39,0,288.82,1.1,37.49,102.45,0,0,11.22,16.26,0,0,22.95,0,10.31
