stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,43.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0
  5-6,0,60.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0,0,31.99,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,3.5,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,27.04,0,20.6,7.17,0,0,0,0,0,0.91,9.41,157.17,126.99,0,0,0,0,0
 24-34,0,0,0,0,0,2.15,1.61,0,0,0,0,29.06,0,0,0,0,0,7.37,0.89,10.12,16.04,3.73,0,0,0,0,0,0,43.69,37.69,0,0,0,0,0
 36-46,0,0,0,0,0,2.99,9.19,0,0,0,0,9.69,0,0,0,0,0,1.72,0,8.85,9.48,0,0,0,0,0,0.81,0,14.69,1.77,4.84,0,0,0,0
 48-58,0,0,3.52,0,0,1.1,4.19,0,0,0,0,1.65,0,0,0,0,0.54,2.12,1.69,5.26,11.16,14.7,0,0,1.85,2.01,0,0,25.34,0,2.25,1.18,0,0,0
 60-70,0,0,0.57,0,0,2.27,20.07,0,0,7.64,0,7.48,0,0,0,0,0,19.96,2.39,22.42,4.71,0,0,0,0,0,0,0,3.2,0,0,5.38,0,6.09,0
 72-82,0,0,0,0,0,11.54,13.91,0,0,0.53,6.08,7.57,0,0,0,0,0,13.67,7.7,1.72,24.71,0,1.18,0,0.71,0.73,0,0,2.7,0,4.09,8.28,0.71,7.61,0
 84-94,0,0,2.3,0,0,5.05,26.29,0,0,1.66,0.68,3.25,0,0,0,0,0,9.19,4.38,11.35,10.51,0,0,0,0,4.78,0,0,21.92,0,0.76,8.34,0,21.03,0.89
 96-106,0,0,0,7.06,0.72,7.5,31.77,0,1.54,0,2.36,10.65,0.74,0,1.48,0,0,17.09,11.9,13.74,6.49,0,0,1.2,3.14,6.18,0,0,3.99,0,0,3.01,6.03,12.9,9.61
108-118,0,0,0,0,6.44,7.91,20.27,0.6,0,0,1.46,4.35,0,0.5,0,0.42,0,20.72,12.48,9.15,11.72,0,0,0,0,0.93,0,0,7.21,0,0,3.24,0,18.29,0
120,0,0,0,1.81,3.02,21.62,45.58,0,0,11.71,0,4.91,0,0,0,0,0,9.29,0,11.97,14.62,0,0,0,2.76,0,0,0,0,0,0,0,0,41.46,0
