stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,9.74,83.85,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
  5-6,0,11.59,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.82,0,0,16.12,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.34,0,0,0,0,27.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,43.75,7.88,0,0,1.91,0,0,0,12.21,0.87,0,0,0,0,0,2.29,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.9,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,1.33,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.69,0,0,1.27,3.58,0,0,0,0.58,0,0,0,0.76,0,0
 60-70,0,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,3.04,1.1,3.71,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.05,2.88,2.71,0,0,0,2.48,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,6.77,0,0,0,0.57,0,1.27,0,0,0,0,0,0
108-118,0,0,0,0,0,1.55,0.71,0.52,18.09,0,3.6,0,1.35,0,1.41,0,0.49,0,0,0,1.09
120,0,0,0,8.51,2.42,2.58,0,0,49.39,0,0,0,0,0,0,0,0,0,0,1.45,0
