stage,blastomeres,eye,fast_muscle,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.93,1.89,17.06,0,0
 24-34,0,0.83,0.91,0,0,0.98,2.13,0,0,3.06,0,0.61,0,1.29,1.11
 36-46,0,0,5.96,0,0,0.88,0.57,0,1.21,2.48,0,1.12,0,0,0
 48-58,0,0,0.43,0,0,0,0.86,0,0,5.28,0,2.41,0,0,0
 60-70,0,0,1.02,0,0,0,0.89,0,0,1.17,0,0.65,0,0,0
 72-82,0,1.04,2.65,0.97,0,0,0,0,0,2.61,0,0,0,0,0
 84-94,0,1.45,0,0,0,0,0,0.94,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0
108-118,0,0,0.5,0,0.64,0,0,0,0.43,0,0,0,0,0,0
