stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.32,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.94,8.81,0,0,0,0,0,0,1.92,3.81,1.79,0,0,0,0,14.14,0,0,1.07,10.85,0,0,0,0,46.83,0.81,0,0,7.47,2.54,0,0,0,0,0
 24-34,2.47,1.33,0,1.68,0,0,0,0,6.03,10.05,16.21,0,0,0.6,0,10.29,3.17,2.43,0.91,15.24,0,0,0,0,21.13,0,0,1.38,0,14.34,0,0,10.68,0,1.55
 36-46,12.66,0,0,0.57,2.07,0.62,0,0.76,3.23,9.53,8.12,0,0.61,0,11.36,3.6,4.4,1.24,0,19.07,1.43,0,0,0,31.5,0,0.58,0.58,0,3.21,0,0,11.17,0,5.53
 48-58,3.57,0,1.43,6.59,0.47,2.57,0,0.39,2.49,11.96,1.3,0,0,0,5.16,12.57,0.82,1.5,0,54.92,1.94,0,0,0,30.39,0,0,0,0,4.8,0,0,4.35,0,3.56
 60-70,15.23,0,4.51,6.89,0.63,1.97,0,0,0,28.35,4.88,0,0,0,0,18.05,0,18.48,1,36.8,0,0,0,0,16.67,0,0,0,0,6.75,0,1.56,20.21,6.05,6.5
 72-82,6.39,0,16.52,4.17,0,4.53,1.45,0,3.11,25.05,6.89,0.55,0,0,3.78,33.26,0.56,12.2,3.81,127.1,0.97,0,0,0.71,50.17,0,0,0,0,2.15,0,6.68,20.16,11.38,6.42
 84-94,7.1,0,7.46,3.5,0,1.1,2.85,0.91,6.48,56.02,14.01,7.75,0,0,23.39,13.16,0,18.19,0,70.6,4.4,0,0,0,113.48,0,1.29,0,0,2.02,3.56,3.04,12.46,32.05,2.72
 96-106,9.67,0,7.57,3.89,9.8,9.53,1.35,0,3.14,50.71,13.52,0,0.63,0,12.93,25.46,0.89,2.77,2.37,123.36,5.61,1.1,0,0,144.88,0,0,0,0,11.18,0,18.94,22.32,15.44,8.24
108-118,17.64,0.97,13.12,2.81,0.72,33.81,0.72,0,1.02,82.61,38.82,1.31,0.54,0,14.86,39.25,1.91,4.87,0.62,129.43,0.45,0,0,2.63,94.66,0,0,0,0,0,2.39,7.71,12.69,15.21,2.17
120,22.26,0,62.3,0,2.8,78.07,0,0,8.43,128.41,5.93,0,1.74,0,1.61,30.14,1.46,2.58,3.67,188.86,15.54,0,0,0,92.04,0,0,0,0,21.82,0,1.46,15.59,54.64,6.17
