stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,450.53,2091.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0
  5-6,2523.25,6149.32,0,120.64,0,0,0,0,0,0,0,0,0,186.15,0,0,0,0,0,0,0,0,1260.58,0,0,91.64,0,13.71,0,0,0,0,0,0,0
  7-9,8.5,42.34,0,313.15,0,54.73,0,4.79,0,0,0,0,0,109.43,0,0,0,0,0,0,0,0,600.15,14.27,0,30.16,0,6.15,0,0,0,0,0,0,0
 10-12,0,100.54,0,786.58,0,456.38,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,484.04,4.36,0,44.14,0,0,68.64,0,0,0,0,0,0
 14-21,1.77,0,0,216.47,66.34,27.06,0,0,0,0,0,0,52.07,0,98.88,0,1.16,0,94.36,300.63,0,85.13,111.66,0,0,1.8,0,0,0,2.23,5.98,0,0,0,0
 24-34,0,0,1.9,93.92,7.41,2.12,0,2.46,0,0,0,2.88,17.06,0,98.35,0,0,0,69.39,99.02,3.87,33.98,75.21,0,0,0,2.97,0.88,0,0,1.96,0,0,5.44,0
 36-46,0,0,0,12.57,0.66,5.85,0,0,0,0,0,0,17.27,0,81.95,0,0,0,43.39,140.1,23.13,4.24,34.01,0,2.33,0,22.55,0.67,0,0,2.71,0,0.85,9.16,0
 48-58,0,0,0.42,5.11,4.14,0,0,12.14,0,0,2.3,4.3,32.75,0,46.52,0,13.46,0,26.86,64.9,14.59,8.27,32.44,0,0,0,9.19,2.49,0,0,5.68,0,2.87,2.42,0
 60-70,0,0,1.23,0,0.86,1.42,0,2.16,0,0,1.2,3.33,84.73,0,19.8,0,0,0,8.02,62.97,10.43,2.33,39.6,0,0,0,12.09,0,0,0,0,0,2.49,7.72,0
 72-82,0,0,11.07,0,0,0,10.73,9.38,0,0.8,0,1.21,100.87,0,33.55,0.71,0,0,10.36,42.48,35.18,5.07,33.53,0,0,0,13.13,0,0,0,5.57,0,7.62,21.71,0
 84-94,0,0,6.69,1.01,14.24,6.33,36.12,0.58,0,0,0,0.97,124.94,0,34.06,0.61,0,0,12.65,74.17,18.76,1.4,5.02,0,0,0,1.53,0.81,0,0,0,0,4.14,3.46,5.33
 96-106,0,0,9.88,2.75,3.12,0,49.99,14.67,6.3,0,1.88,9.26,150.68,0,34,0,1.74,0,21.92,51.02,25.24,4.99,49.86,0,0,0,9.8,2.8,0,0,2.38,0.59,7.71,13.48,6.82
108-118,0,0,23.98,1.98,9.6,0,130.68,4.83,0.42,0,1.19,4.33,169.2,0,18.3,0,0,1.18,38.24,57.44,39.14,0,38.98,0,0,0,17.84,1.92,0,0,6.75,0.54,16.52,6.57,2.95
120,0,0,0,0,8.32,0,49.06,4.67,0,0,0,0,175.37,0,27.56,0,0,0,32.47,86.62,11.04,0,34.67,0,0,0,9.26,1.9,0,0,0,0,21.34,8.11,27.31
