stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.87,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.45,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,20.11,2.02,11.39,0,0,1.34,0,3.27,0.92,0,0,0,1.59,0,13.38,0,0,10.59,241.72,5.28,0,0.98,6.19,0,29.92,0,0,19.68,77.14,0,0,3.39,0
 24-34,0,0,0,0.65,4.9,0,15.39,0,0.78,8.74,3.07,0,0,1.63,0.64,0,0.94,1.63,11.37,0,0,4.95,190.53,0,0,0.79,0,3.1,0,0,0,1.3,44.49,0,0,5.8,0
 36-46,0,0,0,0,2.48,0,45.43,0,0,6.09,0,0,0,0,0,0.8,0,0,18.46,0,0.85,1.44,225.5,0.62,3.87,1.32,0,0.61,0,0,0,0,60.82,0,0,3.23,0
 48-58,0,0,0,0,9.16,0,52.36,0,2.25,20.02,2.39,0,1.15,0,0,0.44,0,0.54,21.22,0,3.02,4.14,186.74,7.52,1.73,0.43,0,2.04,0,0,0,0,48.06,0,0.89,6.15,3.07
 60-70,0,0,0,0,3.57,0,32.25,0,0.68,26.2,0,0,0,0,0,0,4.72,0,25.37,0,0.63,0,119.4,8.84,0,0,0,2.78,0,0,0,0,26.76,0,0,0,0
 72-82,0,0,0,0,2.37,0,53.86,0,1.68,10.04,0,0,0,0,0.83,0,0,0,38.08,0,0.68,2.29,103.3,0,0,1.42,0,0,0,0,0,0,16.79,0.5,0.9,5.18,8.39
 84-94,0,0,0,0,1.25,0,22.57,1.41,0,13.5,0,0,0,0,0.69,0,0,0,20.13,0,0,5.26,85.76,0,2.14,0,0,1.03,0,0,0,0,3.17,0.62,0,2.22,0
 96-106,0,0,1.38,0,0.75,0,23.85,1.63,0,13.58,1.11,0,0,0,0,0,0,0.69,24.88,1.47,1.41,0,41.59,0,0.57,0.61,0,0.82,0,0,0,0,9.53,0,0.75,0.59,0
108-118,0,0,0,0,1.81,0,30.92,0.63,0.44,12.17,0,0,0,0.54,2.7,2.24,1.1,0,29.81,0,1.96,2.73,81.56,0.61,4.79,0.51,0,4.28,0,1.37,0.53,0,6.53,0,0.57,0.65,0
120,1.12,0,0,0,2.93,0,26.51,0,0,6.84,1.14,0,0,0,0,3.84,0,0,11.07,0,3.51,4.23,78.34,4.72,0,0,0,5.48,0,0,0,0,0,0,0,7.34,0
