stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3.63,12.78,8.97,0,6.99,0,0,0,6.63,5.76,0,0.89,0,22.62,0,0,0,0,25.02,0.83,0,9.91,104.53,3.87,1.03,0,1.33,0,1.04,0,11.73,1.86,0,13.81,59.01,0,0,4,0,0
 24-34,0,2.56,1.34,13.75,1.84,0,34.01,0,4.61,0,11.27,2.45,0,3.4,0,77.01,2.39,3.53,0,0.85,48.64,2.93,1.52,26.51,316.1,5.93,17.34,10.48,0,0,24.67,0,2.33,0,0,2.25,116.43,0,0,80.82,0,0
 36-46,0,0,0,15.25,4.4,0,71.91,0,2.38,1.54,19.92,0,0.76,0.69,1.06,68.2,20.76,1.93,0,0,63.4,2.02,5.15,24.44,347.17,9.11,11.25,2.06,0,0,9.16,0,0,2.53,0,0,136.61,0,0,76.5,0,1.54
 48-58,0.58,0,0,23.47,0.93,0,127.19,0,0.39,2.92,54.79,0,1.89,5.87,3.58,14.02,12.82,3.74,0,7.7,125.04,11.05,3.24,16.11,293.22,7.33,8.57,10.48,0,0.47,30.97,0,0,11.07,1.71,0,119.83,0,2.2,80.39,0,0.96
 60-70,0,0,0,25.49,0.69,0,143.09,0,17.61,5.29,95.6,0.89,8.94,2.21,7.71,8.79,61.28,2.46,0,5.54,161.67,1.7,2.89,23.46,246.28,25.97,12.55,21.05,0,2.33,41.81,0,0,0,0.64,0,116.58,0,10.93,61.88,1.46,0
 72-82,0,3.06,0.75,33.55,13.73,0,211.64,0,3.44,13.18,223.87,10,0.59,5.97,16.1,13.71,51.88,6.95,1.08,15.01,343.34,0,26.65,22.82,251.83,1.54,16.22,14.96,0,0,25.07,0,0,7.73,0,0,99.34,0.51,4.38,151.74,0.93,17.26
 84-94,0,12.99,0.61,50.46,24.6,0,215.07,0.56,8.95,10.69,227.5,29.12,1.46,6.66,19.79,44.15,151.48,8.65,3.72,38.41,317.32,5.72,17.82,25.55,198.04,1.52,15.82,21.15,0,7.4,79.42,0,0,10.08,0.63,0,101.53,5,4.88,168.69,6.42,14.45
 96-106,0,8.14,0.72,48,25.79,1.14,235.16,0.64,6.09,15.5,273.67,42.91,0,8.77,18.15,49.22,174.24,9.05,1.4,9.9,344.86,11.75,12.31,12.16,203.23,8.33,26.41,24.89,0,6.81,85.97,0,0,2.83,0,0,53.42,7.04,7.47,130.7,15.67,34.79
108-118,0,7.14,0.42,50.03,12.76,2.97,199.27,0.56,9.76,13.21,262,46.3,0,7.16,18.15,54.72,298.49,3.44,0.54,36.74,371.36,14.56,29.55,18.73,221.34,11.46,14.11,22.14,0,2.06,64.3,0,0,1.3,0,0,31.86,1.28,6,161.55,7.46,8.57
120,0,14.99,0,39.63,21.17,0,123.35,0,10.19,7.56,295.08,44.02,5.2,0,25.03,17.91,134.12,7.32,0,12.95,254.31,5.95,40.71,21.88,195.65,15.93,6.45,7.79,0,14.47,39.42,2.5,0,3.09,1.21,0,23.28,0,0,92.34,2.7,0
