stage,blastomeres,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,36.12,0,0,0,0,0,0
 14-21,0,1.98,0,0,0.94,0,0.83,12.16,0,1.21,3.7,0,0,0
 24-34,0,0,0,0.99,1.37,0,0,14.58,0.91,0,0,0,0,0.77
 36-46,0,0,0,2.58,5.57,0.8,0,24.6,0,0,8.57,0,0,0
 48-58,0,1.04,0.51,0.86,5.31,0,0.38,24.26,0,0,7.98,0,0,0.85
 60-70,0,0,11.32,0,0.57,0,0,43.04,0,0,0,0,0,0
 72-82,0,0,10.1,1.31,13.1,0,0,54.02,0,0,1.36,0.72,0.58,0
 84-94,0,0,8.46,1.47,6.95,0,0,48.36,0,0,0,0,0,2.12
 96-106,0,0,4.52,0.73,2.47,0,0,34.84,0,0,0,0,0,0
108-118,0,0,12.13,2.29,0.76,0,0,49.29,0,0,0,0,0,0
120,0,0,3.33,1.99,2.43,0,0,73.2,0,0,0,0,0,0
