stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,38.25,996.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0,0
  5-6,113.59,1452.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,11.17,0,0,0,0,50.75,0,0,0,0,0,0
  7-9,6.18,15.24,11,0,0,53.52,0,0,11.74,0,0,0,0,0,0,0,0,538.28,33.6,0,0,182.19,0,0,0,0,13.28,0,0,0
 10-12,0,0,5.95,0,8.6,45.63,0,0,11.21,0,0,0,0,0,0,0,0,509.36,8.97,0,0,155.68,0,6.67,8.58,0,0,0,0,0
 14-21,2.31,0,1.86,32.28,4.23,18.24,0,2,0,0,0,0,0,0,14.46,0,4.61,178.69,10.98,1.09,0.9,5.22,0,27.09,1.1,17.47,0,5.63,60.7,5.66
 24-34,0,0,0,6.14,0.85,65.91,0,10.15,0,0,2.22,0.62,0,0,29.2,0,6.48,480.69,0,5.75,1.28,0,0,5.99,0,0,0,1.47,96.32,15.13
 36-46,0,0,0,1.92,0,230.64,0,19.03,0,0,1.19,0,0,0.57,22.21,0,5.56,382.82,0,1.23,2.64,0,0,13.85,0,0,0,0,64.19,5.51
 48-58,0,0,0,0.45,0,137.55,1.71,9.62,0,1.74,0,0,0,0,11.91,0,2.99,118.36,0,0,0.37,0,0,0,0,0,0,0,10.9,0
 60-70,0,0,0,0.71,0,183.84,0,5.15,0,0,0,0,1.12,0,16.78,1.69,2.14,89.27,0,0,2.23,0,0,0,0,0,0,0,2.77,0.89
 72-82,0,0,0,2.57,0,34.5,0,4.5,0,1.25,0,0,0,0,7.73,0.55,1.03,28.75,0,0,0.79,0,0,0,0,0,0,0,0.96,1.36
 84-94,0,0,0,0,0,36.89,0,3.43,0,0,0,0,0,0,13.57,0,1.27,22.64,0,1.04,0,0,0,1.32,0,0,0,0,1.31,8.78
 96-106,0,0,0,0.59,0,19.98,0,2.19,0,0,0,0,0,0,8.01,0,0,27.52,0,0.81,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.73,0,17.3,0,6.26,0,0,0,0,1.42,0,3.2,1.35,0,21.23,0,0,0,0,0,0,0,0,0,0,1.21,0
120,0,0,0,2.35,5.21,32.86,0,23.67,0,5.18,0,0,0,0,3.97,0,0,35.41,0,0,0,0,9.36,0,0,0,0,0,0,0
