stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,hatching_gland,iridophores,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,0,73.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,0,0,0,0,3.93,0,0,0,36.37,0,0,26.44,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.96,0,0,19.53,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,0,0.81,0.81,0.87,0,0,0,0,0
 36-46,0,0,0,0,0.72,0,0,0,0,2.57,5.85,0,0.82,0,2.74,0,0
 48-58,0,0,0,0,3.82,0,0,0,0,0,4.08,0,0,0,0,0,0.66
 60-70,0,0,0,0,0,0,0,0,1.39,0,5.13,0,0,0,0,0,0
 72-82,0,0,0,0.49,0,0.53,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.81,0,0,0,0,0,1.1,0,0,0,0,0,0
108-118,0,0,1.62,0,1.2,0.64,0,3.02,0,0,8.81,0,0,0,0,0,0
120,0,0,1.23,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0
