stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,153.97,3334.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0
  5-6,209.63,4805.17,10.71,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,164.1,10.72,0,0,61.51,0,58.72,0,0,0,0,0,0,0,0,0
  7-9,45.85,84.75,136.36,0,0,162.37,0,0,0,0,0,43.57,0,0,0,0,0,0,0,0,0,0,1575.12,45.69,0,0,523.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.11,83.36,0,10.76,70.6,0,0,0,0,0,25.73,0,0,0,0,3.73,0,0,0,0,0,1267.81,41.39,0,0,336.4,0,0,0,40.19,0,0,0,0,0,0,0
 14-21,0,0,1.1,12.13,0,2.68,0,0,0,3.61,0.96,0,0,0,0,0,0,0,10.88,0,0,5.67,84.61,1.39,2.68,5.95,0,0,3.6,10.83,0,0,7.37,29.09,0,0,1.94,0
 24-34,0,0,1.42,5.96,0,15.77,0,0,0.74,2.81,0,0,0,0,0,0,0,1.71,12.84,0,0,2.1,224.25,0,3.19,3.91,0,0,3.8,0,0,0,4.25,43.46,0,0,4.56,0.86
 36-46,0,0,0,2.73,0,22.83,0.68,0,0,3.55,0.61,0,0,0,0,0,0.87,0,14.69,0,0,2.2,115.76,1.62,0,1.94,0,4.12,2.55,0,0,0,0,13.87,0,0,1.9,0
 48-58,0,0,0,0,0,79.65,0,0,0.38,9.04,0,0,0.42,0.64,0,1.18,0,0,19.38,0,0.39,0.7,136.27,0,1.25,0,0,0,0.94,0,0,0.92,0,34.25,0,0,0,1.1
 60-70,0,0,0,1.15,0.81,57.27,0,0,0.63,26.63,0.68,0,0,0,0,0,0,0,17.64,0,0,2.11,87.19,0,0,0,0,0,0.59,0,0,0,0,5.64,0,0.84,0.7,0
 72-82,0,0,0,0.64,0,60.71,0,0,7.64,4.91,2.05,0,0,0,0.57,0.63,0,0,15.64,0.59,0.72,1.3,79.37,0,1.24,1.37,0,1.05,0,0,0,0,0,8.05,0.97,0,0,2.57
 84-94,0,0,0,1.21,0,7.37,0,1.13,0,4.2,0.6,0,0,0,0,0,0,0,9.78,0,0,1.42,26.75,0,0,0,0,0,0.59,0,0,0,0,3.74,2.57,0,2.13,0
 96-106,0,0,0,1.64,0,13.21,0,0,0,2.06,1.28,0,0,0,0,0.97,0,0,7.82,0,0,0.87,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
108-118,0,0,0,0,0,16.78,0,0,0,7.91,0.59,0,0,0.75,0,0,1.74,0,12.45,0,0,0.42,23.34,0.46,1.82,0,0,0,0,0,0,0,0,0,0,0,0,3.94
120,0,0,0,0,0,16.88,0,1.39,0,3.68,0,0,0,1.14,0,0,0,0,10.33,0,0,0,33.7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
