stage,epidermis,fin_epithelia,mesenchyme,muscle,neural,otic
 36-46,0,0,0,0,2.2,0
 48-58,0,5.62,0,0,0,0
 72-82,0.52,0,0,1.76,0,0.79
 84-94,0,1.7,0,0,0,0
 96-106,0,1.02,0,0,0,1.57
108-118,0,1.19,1.46,1.18,0,0
120,2.89,0,0,0,0,0
