stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.39,5.33,8.11,0,0,3.01,0,0,0,0,1,1.02,0,0,0,0,0,0,0,6.71,0,0,2.2,84.09,21.01,5.24,0.81,0.93,1.39,4.22,2.1,5.94,57.28,0,0,0,0,0
 24-34,0.96,0,1.24,0,0,2.07,0,0,0,0.63,0,0,0,0,1.62,0,0,1.54,0,7.41,0.93,0,1.71,484.33,1.45,29.59,0,0,2.59,0,0.7,1.32,97.55,0,0,6.03,0,0
 36-46,0,0,0.85,1.69,0,30.76,0,0,1.26,168.34,0,0,0,0,0,3.68,0,0,0.86,2.58,0.65,0,0.71,1175.14,0,35.06,1.46,0,4.33,0,0,0,218.16,0,0,0.69,0,0
 48-58,0,0,9.65,0,0,301.05,0,4.91,0,1865.3,0,0,0,0,0,7.67,0,1.98,0,23.63,0,0,3.21,1847.42,5.56,25.92,0.64,0,3.34,0,4,0,290.8,0,0,0,0,7.32
 60-70,0,0,13.18,1.28,0,1697.5,0,0,0,3908.69,0,0,0,6.6,0,0,0,61.93,0,22.6,0,2.87,5.53,2721.53,0,15.56,7.76,0,0.67,0,0.73,0,288.97,0,1.93,2.2,0,0
 72-82,2.04,0,14.91,1.56,0,2377.03,0,0,1.54,3006.34,0.56,0,0,0,0,4.15,1.42,0,0,74.54,3.28,6.42,2.13,2582.22,0,45.79,4.31,0,5.9,0,0,0,201.98,0.8,0.89,2.11,0,0
 84-94,0.66,0,35.44,0.74,1.54,1450.68,2.56,0,6.06,2428.58,0,0,0,1.74,0,0.67,0.69,0,0,151,0.76,0.63,12.13,1657.63,0,37.7,6.24,0,11.94,0,0,0,158.7,1.67,4.92,8.44,5.3,3.41
 96-106,0,1.03,39.85,16.15,1.76,1510.78,0.57,20.45,0,1530.11,2.4,0,0,0.66,0,2.85,0.79,27.15,1.3,45.04,10.88,3.66,1.81,1319.13,2.71,33.53,4.2,0,13.61,0,0,0,25.75,53.37,0,0.99,0,8.09
108-118,1.04,0,21.34,6.33,0.56,1539.09,0,0,3.33,1911.73,5.2,0,0.69,0,0.59,0.78,1.43,1.53,0,32,6.02,0.76,1.69,1507.89,0,32.61,6.88,0,10.27,0,0,0,33.17,3.42,0,3.31,0,1.56
120,3.99,0,11.65,17,0,1122.42,0,1.01,0,2274.97,1.93,0,0,2.18,0,2.67,0,58.57,0,69.88,0,0,9.91,1995.47,17.18,21.43,12.26,0,5.23,0,2.39,0,28.79,0,0,0,0,0
