stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9.38,0.99,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,13.31,0,0,0,4.12,0.91,2.01,0,2.5,1.93,0,0,0
 24-34,0.59,1.49,2.57,0,0,0,2.04,0,1.04,0,0,0,0,0,3.29,0,0,1.4,31.34,0,0,0,1.43,0,0,0,0.63,18.45,1.36,0,0
 36-46,0,1.62,6.97,0,5.32,0.71,1.5,0,0,0,0,0,0.77,0,8.31,0,0,1.27,69.02,1.24,0,0.81,2.96,0,0,0,0,15.75,0.89,0,0
 48-58,0,0,12.08,0,0,0,0.63,0,0,0,0,0,0,0.89,10.14,0,0.5,0.42,36.72,0,0,1.88,0,0,0,0.74,0,5.02,0,0,0.92
 60-70,0,1.78,43.33,0,0,0.76,4.07,0,0.88,0.57,0,0,0.7,0,25.95,0.62,0,3.39,72.62,0,0,0,0,0,0,0,0,15.33,1.02,0.64,0
 72-82,0,0,15.25,0,0.71,0.78,4.64,0.86,0,0,0,2.96,0.55,0,11.63,0,2.45,0,32.11,0,0,0,1.14,0,0,0,0,3.49,6.14,1.53,0
 84-94,0,1.38,17.84,0,0,0,1.55,0.57,0,2,0,0,0,0,5.6,0,0,0,34.71,0,0,1.44,0.96,0,0,0,0,0,9.34,1.66,0
 96-106,0,0,6.59,0,0,2.37,4.77,0.95,0,0,0,0,0,0,10.65,0,0,0,29.11,0,0,1.36,0,0,0,0,0,0,1.05,0,0.58
108-118,0,5.31,31.37,2.21,2.79,0.74,6.91,0.54,0,0.55,0.54,0.88,0,0,31.14,0,0,1.82,37.26,0,0,0,0,0,0,0,0,0.93,4.62,0,0
120,0,3.11,29.88,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,45.25,0,1.91,9.75,1.64,0,0,0,0,0,14.33,0,0
