stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,otic,periderm,pgc,spinal_cord
  3-4,0,10.26,0,0,0,0,0,0,0,0,0
  5-6,0,31.39,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,6.47,0,0,28.13,3.22,0,0,6.03,0
 10-12,0,0,3.23,0,0,31.65,0,0,0,12.01,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.89
 24-34,0,0,0,0,0,5.14,0,0,0,0,0
 36-46,0,0,0,0,0,0.91,0,0,0,0,0.73
 48-58,0,0,0,0,0.41,3.35,0,0,0,0,0.64
 60-70,0,0,2.81,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.59,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.99,2.02,0,0,1.44,0,0
108-118,0,0,0.58,0,0,0.97,0,0.55,0,0,0.7
