stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0.87,0,0,0,0.81,0,0,0,0,0,0,0,0,0,8.36,4.72,0,0,0,0,0,2.36,2.47,0,198.37,101.36,4.09,0,0,0,0,0
 24-34,0,0,5.37,0,5.22,391.12,0,0.62,2.78,0.77,6.33,0,0,0,0,0,0,12.16,0,0,107.24,128.66,1.13,1.79,1.41,0,0,4.4,3.08,0.6,230.17,165.09,27.62,0,0,3.22,0,0
 36-46,0,0.56,3.3,0,24.08,907.08,15.41,0,8.51,0,1.81,2.1,0,0,0,0,3.85,9.14,0,6.41,71.63,205.35,10.66,5.56,0.95,0,0,10.61,0,1.03,281.32,8.93,32.08,0,0,5.42,0,2.11
 48-58,0,0,13.27,1.29,59.09,615.61,0,1.21,7.37,0,0.6,0.55,5.68,2.49,0.41,0,4.05,26.29,0,0,42.99,200.17,0.38,0,0,4.77,0,14.35,0,0,165.07,0,26.4,0,0,1.74,0,29.14
 60-70,0,0,3.47,0,58.08,417.45,4.26,1.2,4.75,0,0,5.72,0,5.65,1.12,1.63,0,18.13,0,0,38.13,169.41,0,0,0,1.62,0,9.11,0,0,111.44,0,8.42,0,0,0,0,15.95
 72-82,0,0,3.44,3.13,80.15,157.72,0,0.59,14.77,0.56,0,0,0,0,1.51,0,0,19.39,0.78,9.52,22.45,104.63,0,0,0,0,0,7.96,0,0,51.46,0,13.38,0,0.5,0.64,3.12,22.49
 84-94,0.56,0,1.55,0,15.64,152.7,4.9,0,7.47,1.31,3.34,0,0.58,0,2.31,0,0,8.01,0,0,33.49,52.43,0,0,1.29,0,4.76,7.65,0,0,49.16,0,0,3.4,0,8.62,2.34,2.53
 96-106,0,0,6.33,28.54,85.03,153.3,1.84,0,5.9,1.71,0,0.86,1.53,0.58,1.1,4.28,0,17.25,0,0,21.54,51.5,0.58,2.69,1.08,0,0,4.76,0,0,36.18,0,0,0,4.16,8.33,8.25,5.3
108-118,0,0,1.05,1.86,25.21,130.57,0,0,3.62,0,0,2.57,0,1.9,0.75,0,0,8.92,0,0,12.97,37.21,0,0,0.42,0,2.38,1.38,0,0,29.88,0,3.82,4.38,2.17,0,4.53,0
120,0,0,1.95,0,12.06,111.16,7.41,0,11.52,0,0,0,0,0,0,0,0,0,0,5.87,45.23,47.75,0,0,0,0,0,0,0,0,28.75,0,0,0,7.67,0,0,0
