stage,epidermis,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,spinal_cord,vasculature
 14-21,0.91,0,0,0,0,0,0,0,0,6.76,0
 24-34,0,1.42,0,0,0,0,1.04,16.41,0,0,0
 36-46,0,0,0,0,0,0,1.29,25.13,0,4.11,0
 48-58,0,4.03,0,0,0,0,0,32,0,4.1,0
 60-70,0,14.14,0,2.25,0,0,0,30.41,0,13.74,0
 72-82,0,29.95,0,8.91,0,1.22,0,48.15,0,0,0.49
 84-94,0.64,32.31,0,0,0,6.7,0,12.69,0,2.79,0
 96-106,0.79,33.62,1.08,0,0.71,0,0,10.5,0,0,0
108-118,0,51.35,0,0,0,0,0,8.43,0,0,0
120,0,8.16,0,5.01,0,0,0,31.84,2.74,0,0
