stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,xanthophores
 24-34,0,0,0,0,0.82,0,1.35,0
 36-46,0,0,0,0,1.03,0,0,0
 48-58,0,0.72,0,0,0.81,0,0,0
 60-70,0.71,0,0,9.21,0.82,1.69,0,0
 72-82,0,0,0,0,4.47,0,1.26,0
 84-94,0,0,0,0,4,0,0,0
 96-106,0,0,0,0,2.45,0,0,0
108-118,0,0,1.05,0,6.33,0,0.64,1.22
120,0,0,0,0,18.44,0,12.99,0
