stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,4.79,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.68,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.33,24.44,0,0,15.8,0,0,0,0,0,0,3.11,0,0,0,0,0
 14-21,0,0,59.21,1.61,0,0.99,0,0,0,0.97,2.68,0,8.49,0,0,0,0,0,0,10.64,0,18.05,45.03,504.56,0,0,0.9,0,0.86,0,8.9,0,152.6,139.83,24.55,0,0,0,0
 24-34,0,4.03,43.55,0,0,24.28,12.61,2.59,1.59,10.75,0,0,7.17,0,0,0,0,0,0.95,43.07,0,54.65,79.74,37.7,0,0,0,0,2.17,0,1.58,0.64,45.49,50.09,44.77,0,24.1,0,3.46
 36-46,0,0.63,37.03,0,0,10.09,46.01,3.63,6.62,29.39,0,0,0.63,0,0,1.49,0.89,0,0,37.38,2.04,22.9,62.48,22.4,0.89,1.82,0,0,3.9,0,0,2.28,30.04,3.52,71.98,0,18.4,0,1.13
 48-58,0,0,37.17,1.97,0,21.51,45.7,5.49,1.87,61.16,0.96,0.37,3.86,0,0,0,1.22,3.47,2.89,76.16,12.49,23.01,78.83,5.89,0.9,2.1,6.64,0,3.5,0,0,0,12.27,0,81.09,0.42,21.02,0,8.54
 60-70,0,0,37.03,0.87,0,53.17,21.48,18.05,0.86,137.3,4.95,0,0.59,0,0,4.56,0,5.95,7.12,99.93,6.26,20.2,50.09,4.11,0,3.84,0,0,9.57,0,0,0.73,24.95,0,58.29,1.9,10.73,1.06,3.93
 72-82,0,0,32.83,3.86,1.61,55.33,32.79,21.49,5.04,230.37,4.52,0,2.37,0.73,0,1.55,0,5.53,0.49,120.32,19.83,24.96,44.99,3.62,0,3.04,1.13,5.63,2.21,0,0,0,14.97,0,51.11,6.62,22.22,11.54,0.5
 84-94,0,0,39.48,1.99,0,59.43,41.97,21.13,1.97,172,1.54,0,0,5.47,0,2,0,4.39,6.8,57.8,11.88,22,52.94,3.34,0,7.74,0,0.77,5.89,1.4,0,0.74,17.9,0,59.48,6.24,8.16,21.14,11.12
 96-106,0,0,54.81,6.61,1.14,34.31,48.73,11.09,1.12,258.68,5.65,0,3.2,0.87,0.66,7.77,0,18.86,0,99.94,2.02,24.17,68.55,0.66,1.63,10.61,0,5.19,10.3,0,0,1.33,5.41,0,79.58,9.89,7.52,3.32,14.49
108-118,0.57,0,62.91,0,9.84,57.61,35.97,19.59,4.3,246.44,1.5,0,1.1,0,0.72,10.89,0.55,24.3,0,105.69,9.87,32.28,54.29,8.59,0.47,17.66,0,4.36,2.84,0,0,0,8.85,0,38.34,10.19,10.35,9.76,3.46
120,0,0,52.87,0,1.6,67.61,65.88,26.78,0,301.64,3.99,0,0,0,0,0,0,37.21,0,88.9,22.91,36.03,52.99,18.92,0,12.63,0,9.85,3.29,0,0,0,8.53,0,21.76,5.13,25.39,21.53,0
