stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,112.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,5.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.86,0,0,0,0,0,0,0
 14-21,0,0,0,8.79,0,0,0,0,0,0,116.51,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,5.74,0,0.61,0,0,0,0,308.96,0,0,0,0,0,0,1.93,12.31,0.66,0,0,0,1.64,0.64,0,0,41.59,0
 36-46,0,0,1.01,0,0,0,0,0,0,0,390.63,0,0,0,0,1.04,0,1.14,13.42,0,0,0,0,0,1.17,0,0,86.55,0
 48-58,0,0,0,0,0,2.81,0,0,0,0.69,535.97,0,0,0,0,1.14,0,0,18.61,0,0,0,0,0,0.38,0,0,65.98,0
 60-70,0,0,0,0,0,4.51,0,1.95,0,0,587.33,0,0,0,0,1.92,0,2.27,20.04,0,0,0,0,3.98,0,0,0.82,80.75,0
 72-82,0,0,1.12,2.04,0,8.36,0,3.21,0.61,0,694.31,0,0,0,0,3.54,2.57,0.57,14,0,0,0,1.4,0,0,0,4.63,245.64,4.59
 84-94,0,0,2.25,0,0,4.55,0,0,1.83,0,1082.44,0,0,0,0,1.13,4.39,0,4.87,0,0,0,0,0,0,1.67,0.63,238.67,11.72
 96-106,0,1.03,58.28,9.02,0,26.1,7.66,2.56,16.33,0,1310.53,4.84,6.49,2.23,4.87,4.65,10.27,0,55.35,0,0,0,7.24,18.99,0,2.35,9.8,244.3,8.36
108-118,0,0,7,3.92,0.72,14.65,3,2.78,8.21,0,1296.31,0,0.7,0,0,1.67,21.37,3.4,28.09,0,0,0,13.34,1.61,0,0,0.77,327.8,24.53
120,0,0,0,0,0,11.25,0,0,97.97,0,1041.75,0,0,1.13,0,3,20.7,0,25.86,0,3.63,0,0,0,12.17,0,0,104.82,17.9
