stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,1.15,0,1.43,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0.9,2.58,0,0,0,0,1.42,17.35,0,0,0,0,6.51,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.8,0,0,0,0,0,14.94,0,0,0,0,2.93,0,0
 48-58,0,0,0,0,0,0,0,6.75,0,0,2.06,0,0.38,0.75,0,0,0,0,0,0,0,1.14,0,0,0,11.24,0,0,0,0,0,13.19,0,0,0,0,5.39,0,0
 60-70,0,0,0,0,0,0,136.68,2.37,0,0,8.43,0,3.85,0,0,0,0,0,0,0,0,3.67,0,0,0,59.53,0,0,0,0,0,3.43,0,0,0,0,16.91,0,0
 72-82,0,0,2.22,0,1.89,2.81,1781.72,89.67,0,13.48,25.58,15.14,0.53,0,3.9,1.36,1.32,0,0,12.36,0,23.68,0,0,3.97,376.69,0,2.56,3.35,0,8.72,11.9,0,2.69,1.36,0,52.52,5.42,0
 84-94,0,0,0.84,0,10.18,20.17,3616.84,95.27,0,10.12,11.1,11.01,3.59,0,2.41,6.9,0,0,0,5.56,0,24.89,0,1.32,2.32,373.93,0,0,2.88,1.53,25.31,4.11,0,8.95,0,2.63,61.63,3.33,0
 96-106,0,0,4.4,0,34.5,131.66,11702.53,367.83,12.08,18.34,5.61,89.68,70.25,0,6.73,19.09,8.55,4.5,3.37,115.97,0,202.26,14.07,10.62,13.26,1414.22,8.11,11.9,9.94,6.96,164.08,13.44,0,13.05,11.87,2.14,60.8,18.13,11.11
108-118,0,0,6.77,1.34,83.12,57.38,32113.02,822.41,7.34,24.61,26.77,197.74,55.2,0,10.49,18.35,15.93,23.62,11.26,73.09,7.97,336.42,23.88,15.86,36.91,2027.55,8.32,12.68,10.53,13.08,182.71,15.47,2.25,49.47,5.43,9.74,98.25,13.04,38.79
120,0,0,0,0,106.17,44.17,14245.72,548.33,20.49,10.32,29.13,224.91,38.74,0,3.24,45.96,6.56,5.36,21.21,75.77,7.52,383,1.16,77.45,29.5,2184.26,22.11,19.76,28.9,22.1,61.03,88.91,1.22,60.2,5.71,12.35,98.82,30.77,15.39
