stage,axial,blastomeres,endoderm,notochord,paraxial_mesoderm
  3-4,24.04,60.44,0,0,0
  5-6,0,61.42,0,0,0
  7-9,0,0,0,10.16,10.39
 10-12,0,0,5.83,0,6.6
