stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61,0,0,4.75,0,0,0,0
 10-12,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,1.08,0,0
 36-46,0,0,0,0,9.24,0,0,0,0,0.59,0,0,0,0,0,39.71,0,0,0,0,2.02,0,0
 48-58,0,0.68,0,0,41.3,0,0,0.88,0,0,0,0,1.45,0,1.08,54.88,0,0,0,0,1.39,0,0
 60-70,0,3,0,0,100.04,0,0,0,1.23,0,0,0,0.87,0,1.08,135.32,0,0,0,0,0,0.67,0
 72-82,0,9.16,1.72,0,97.35,0,2.85,3.91,1.62,0,0,0,7.21,0,0.94,380.98,0.91,0,0,0,0,1.34,0
 84-94,0,22.82,0.57,0,49.04,0.7,0,4.23,1.12,0,0,0.71,11.1,0,0,233.11,0,0,0,0,2.43,1.6,1.21
 96-106,0,22.09,1.07,0,71.42,0,0,6.32,5.12,0,1.52,0,9.32,0,0,279.35,0,0,0,1.35,2.38,1.92,13.44
108-118,0,15.37,0,0,66.74,0,0,3.98,3.96,0,0,0,4.48,0.69,0,416.91,0.86,0.74,0,0,1.03,4.54,0
120,0,24.45,5.63,1.68,41.89,0,0,2.61,9.78,0,0,0,3.2,0,0,423.19,0,0,0,0,3.5,1.56,0
