stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,178.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,127.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,34.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.09,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,100.69,19.5,0,9.34,0,0,12.27,0,0,0,0,0
 14-21,0,0,0,17.93,23.06,1.9,0,0,1.21,0,5.94,0,0,0,6.32,0,0,3.01,13.72,5.56,0,0.92,0,2.66,0,4.81,13.8,50.28,0,0
 24-34,0,0,0,12.03,4.07,0,2.7,0,1.57,0,12.44,0,0.63,0,9.01,0,0,4.73,12.27,9.11,0.73,0,0,0,0,0,7.88,250.35,0,0
 36-46,0,0,0,5.81,0,0.77,3.75,0.67,2.01,0,21.39,0,0,0,1.64,0,0,1.79,3.68,0,1.74,0,0,0,0,0,0.84,295.38,0,0
 48-58,0,0,0,13.96,0,0.66,2.13,0,1.16,0,26.91,0,0,0,5.75,0,0.99,0.46,11.32,0,0,0,0,0,0,0,7.29,317.52,0,0
 60-70,0,0,0,3.33,10.02,4.91,0,0.98,1.15,0,12.36,0,0,0,9.46,0,0,0,7.8,2.21,0,0,0,0,0,0,5.45,204.6,0,0
 72-82,0,0,0,10.66,0,2.6,0.68,3.52,3.07,0,17.82,0,0,0,28.82,0,1.12,0,18.94,0,0,0,0,0,0,0,0.87,426.77,1.78,0
 84-94,0,0,0,14.5,3.82,6.4,2.49,0.77,5.35,0,14.7,0,0,0,24.01,0,2.36,0,12.97,0,0.88,0,0,0,0,0,1.02,395.94,1.63,0
 96-106,0,0,0,6.14,0.69,1.15,0.58,6.89,1.08,1.86,22.94,6.06,0,0,45.02,1.89,4.02,0.57,22.31,0.57,0.91,0,5.95,0,0.9,0,0,458.26,0.65,0
108-118,0,0,0,8.19,6.44,7.83,3.01,0,8.04,0,10.43,0.5,0,1.21,17.57,0,0,0.44,15.06,0,0,0,2.5,0,0.88,0,1.33,299.78,0,2.22
120,0,0,0,18.41,0,0,0,1.85,0,0,8.47,0,2.37,0,17.95,0,0,0,16.93,0,0,0,0,0,0,0,0,333.05,0,0
