stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.85,3.61,0,0,0,55.74,14.65,3.37,0,0
 24-34,1.16,0,0.75,4.95,1.56,0,0,0,11.08,48.84,0,0.6,2.83,33.95,5.19,6.56,1.24,0
 36-46,0,0,3.42,14.13,0,0,0,0,2.69,62.49,1.27,0,0,10.72,0,5.37,1.59,0
 48-58,1.33,0,14.59,21.56,1.5,0,0,1.42,9.89,58.31,0,0,0,2.64,0,12.05,0,5.23
 60-70,1.13,0,3.28,20.23,0,0,0,2.19,7.03,30.94,0,0,0,0,0,0.71,0,0
 72-82,0,0,5.06,49.29,0,0,0,5.16,0.54,24.9,0,0,0,0,0,1.23,0.82,0
 84-94,0,0,4.26,117.96,0,0,0,1.51,11.44,14.51,0,0,1.25,0,0,0,4.3,0
 96-106,0.99,1.82,7.92,167.85,9.84,11.72,0.76,5.1,3.59,9.64,0,0,1.44,5.77,0,0,0,0
108-118,1.22,0,6.28,230.27,0.99,0,0.43,9.88,8.85,13.41,0,0,5.8,0,0,1.26,0,3.28
120,1.75,0,2.99,216.98,0,0,0,6.61,0,13.27,0,0,0,0,0,0,0,0
