stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,1,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,0,0,2.78,0,0,0,0,0,0,0
 36-46,0,0.74,0,0,0,0,0,0,0,0,0,0,0,57.89,1.72,0,1.22,0,0,0,0,0,0,0
 48-58,0,13.96,0,0,0.82,0.57,0,0,0,0,0,0,0,149.12,3.15,0,6.25,19.32,0,0,0,7.16,0,2.14
 60-70,0,0,0,0,6.88,0,0,1.54,0,0,0,0,0,548.96,2.07,0,12.29,31.36,2.37,0,0,1.03,0,0
 72-82,0,2.53,0,0,10.28,0,0.77,4.2,15.99,1.04,0,0,3.11,690.05,7.52,0,51.85,12.7,3.97,0,0,8.01,1.05,0
 84-94,0,2.56,2.15,0,7.38,0,0.91,0,0,0,3.57,0,0.6,1056.87,0,0,29.43,26.31,0,0,0,0,0.57,1.74
 96-106,0,0,13.57,1.86,27.09,0,2.5,3.16,5.12,0,1.83,0,0,1902.31,11.12,0,54.8,6.91,1.57,0.67,0,0,1.54,0
108-118,0.41,0.96,0,0,10.33,0,2.92,2.76,0,0,0,3.64,0,1161.61,6.02,0.61,21.12,1.55,2.26,0,0,0,0,0
120,0,13.01,0,0,10.6,0,0,0,0,0,0,0,0,1029.6,1.14,0,87.52,51.46,0,0,0,0,0,0
