stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,201.48,3370.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,169.86,2746.91,0,0,0,0,0,0,0,0,0,0,53.23,0,0,0,0,0,0,0,0,0,0,0,96.72,21.64,0,0,65.85,0,182.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,131.84,46.97,0,42.57,0,0,0,227.65,0,0,0,0,70.65,0,0,0,0,0,0,0,0,0,0,0,1932.78,21.32,0,0,854.48,0,79.74,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.19,0,86.84,0,6.22,0,137.36,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1185.94,29.55,0,0,207.86,0,49.2,5.85,0,20.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.05,438.44,10.14,0,9.86,5.87,0,13.57,15.67,4.89,1.1,0,13.18,0,0,8.59,0,70.47,3.05,0,31.6,247.66,25.61,1.1,25.52,6.3,0,233.57,0.9,27.42,5.27,0,19.8,106.01,0,0,0.83,0,0
 24-34,0.88,0,0.84,3.03,280.69,1.22,0,29.14,48.19,0,7.41,4.37,9.3,5.6,0,47.15,0,3.86,3.4,13.62,83.17,9.27,0.91,35.19,305.91,6.02,4.12,8.71,0,1.61,238.24,0,0,6.24,0,4.46,69.45,0,0,7.89,0,0.96
 36-46,0,0,0,0,130.45,0,0,14.77,59.84,3.07,13.14,0.72,1.36,5.92,0.73,45.51,0,0.66,0.61,19.36,97.46,3.51,2.93,22.99,170.12,6.33,0.91,20.43,0,0,212.28,0.73,0,14.87,0.74,0,36.86,0,0,8.31,0,0
 48-58,0,0,0,0,112.34,2.41,0,31.14,41.72,1.46,15.42,1.24,1.93,1.64,0.39,17.65,0,1.62,2.56,20.61,67.29,5.3,1.47,13.8,142.42,2.68,0.85,8.07,0,1.51,144.86,0,0,6.72,0.5,0,29.25,0,0,4.01,0,3.77
 60-70,0,0,0,2.79,83.8,1.39,0,37.71,44.81,1.45,26.96,3,5.6,0.59,1.47,19.31,0,5.34,1.2,5.1,108.4,3.5,9.86,3.86,59.85,0,3.3,14.32,0,2.69,113.86,0,0,5.59,1.48,0,13.59,1.45,0,1.4,0,0
 72-82,0,0,0,0,62.88,24.78,0,45.34,34.25,2.82,49.99,24.74,0.49,0.88,0,8.89,2.79,5.37,5.37,11.93,139.09,17.29,3.9,6.18,113.37,2.92,3.63,12.63,0,0,63.55,0,0,0,0,0,16.98,14.14,1.01,5.76,1.27,0
 84-94,0,0,0,1.04,84.36,8.35,5.53,27.83,24.26,5.49,74.95,25.61,0.91,0,1.42,28.07,0,0.66,0,19.65,131.21,13.63,3.74,11.62,75,0,3.23,16.6,0,0,226.82,0,0,0,0,0,16.82,10.13,1.13,5.23,3.44,0
 96-106,0,0,0,1.03,77.39,40.36,0,39.67,9.08,0,84.06,42.73,0,4.73,4.08,26.15,1.28,11.8,7.43,8.32,105.6,11.93,9.18,4.53,46.37,2.62,3.96,10.81,0,5.4,126.86,0,0,0.87,0,0,9.54,25.54,7.74,12.34,1.17,2.76
108-118,0,0,0.6,0.94,79,17.44,1.08,40.22,20.91,5.14,129.72,37.14,0,0,5.16,21.56,2.36,7.15,3.82,12.62,162.64,22.14,11.49,7.7,91.65,0.89,10.5,22.44,0,1.91,140.77,0,0,2.09,0,0,3.58,31.67,6.5,10.62,0.5,0
120,0,0,0,1.28,96.61,9.18,0,50.34,11.06,0,135.08,41.02,5.2,4.2,2.32,28.76,1.43,6.27,3.28,14.98,125.96,16.78,43.67,3.19,106.67,3.68,4.21,21.36,19.84,6.29,55.5,0,0,0,0,0,7.63,9.58,0,15.26,9.7,0
