stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,14.44,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,5.69,2.74,0,0,0
 24-34,0,4.07,0.78,0,1.35,0,0,0,0,0,0.8,0,0,1.56,27.51,0,0.78,0,0,33.51,0,0.63,4.37,0,6.26,0
 36-46,0,1.07,4.06,0,1.86,0,0,0,0,0,2.45,0,0,4.61,21.05,0.57,0,0,0,84.13,0,0,5.16,0,0,0
 48-58,0,0,10.62,1.03,0,0,0,4.57,5.43,1.1,3.19,2.73,0,0.51,14.01,0,0,0,0,59.19,2.16,0,7.72,0,0,0
 60-70,0,0,14.03,0.89,1.99,0,0,0,0,0,8.4,0,2.08,0,18.65,0,0,0,0,54.76,4.54,0,3.57,0,0,0
 72-82,0,2.61,6.2,0,0.58,1.45,0,0,0,0,5.05,0,0,0,18.04,0,5.71,0,0,32.06,2.68,0,0,0.63,2.1,0
 84-94,0,1.27,11.28,0.97,1.46,0,0,0,0,0,2.84,0,0,1.3,9.75,0,0,0,0,33.08,0,0,0,0,0.92,0
 96-106,0,7.64,22.19,0.59,0.82,0,0,0,0,0,6.86,0,0,0,10.68,0,0,0,0,19.45,0,0,1.8,0,0,1.13
108-118,0,2.67,1.04,0.72,1.74,0,0,0,0,0,13.39,0,1.3,5.09,12.45,0,0.57,2.68,0,16.01,0,0,3.63,0,0,0
120,0,20.24,10.23,2.08,10.73,1.38,0,0,0,0,24.85,0,0,3.83,15.68,0,0,0,0,9.91,0,0,0,0,0,0
