stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,85.04,0,0,4.37,0,51.23,0,0,0,0,0,0,0
 14-21,0,0,2.01,24.19,3.22,0,0,0,0,2.74,3.22,0,0,0,0,0,0,0,21.78,0,0,12.93,69.84,0.86,1.44,0,4.01,0,0,0,24.7,0,6.38,116.38,0,0,2.09,0,0
 24-34,0,1.3,0,3.13,0.66,31.48,0,1,2,3.45,0,0,0,0.61,0,0,1.51,0,12.58,0,0,15.85,367.18,0,13.2,0,0,0,0,0,0,0,5.71,87.5,0,0,11.04,0,0.71
 36-46,0,0.95,0,0,0,18.49,0,0,1.67,0,0,0,0,0,0,0,0,0,3.68,0,0,4.23,876.29,0,6.79,1.39,0,0,0,0,0,0.72,0,107.52,0,0,0.68,0,0.67
 48-58,0,0,0,3.79,0,60.65,0,2.39,5.37,6.59,1.26,0,0,0,0,0,3.72,0,3.48,0,0,1.86,1376.81,0,6.67,0,0,0.45,3,0,0,0,0,149.45,0,0,0.96,0,0
 60-70,0,0,0,7.41,0,195.44,0,8.13,3.39,13.78,0,5.1,0,0,1.92,0,0,0,1.76,0,0,1.76,2117.5,7.37,11,0,0,0,0,0,0,0,0,219.55,0,0,1.81,0,8.01
 72-82,0,0.93,0,7.81,1.96,411.6,0,0,1,13.71,0.51,0,0,0,5.45,0,0,0,12.06,2.55,1.94,0.63,2028.41,0,1.99,0.75,0,0,1.24,0,0,5.73,0,233.77,4.51,0,3.84,0,13.87
 84-94,0,0,0,8.21,0.68,396.39,0,0,0,6.89,1.94,2.05,0,0,5.74,1.38,0,0,18.19,0,0,0,1597.76,0,6.06,0,0,0,9.66,0,0,0.8,0,130.18,0.83,0.88,0,1.66,0
 96-106,0,0,0,15.62,8.19,356.82,6.4,0,3.68,7.1,0,0,0.71,0,7.96,0,10.68,0.67,6.78,0,1.02,0,1233.46,0,7.2,2.15,0,0,8.93,0,0,0,0,110.44,0,0,2.21,0.96,4.26
108-118,0,0,0,29.66,7.98,429.58,0,1.62,0.73,15.9,1.14,0,0,0.42,7.48,0,1.1,0,9.59,0,0,0,1884.4,0,7.7,3.58,0,0,0,0,0,0,0,66.81,3.18,0,1.03,0.44,0
120,0,0,0,26.64,0,634.4,0,0,1.29,26.29,0,0,0,1.48,5.72,3.15,14.99,0,33.65,0,0,8.76,2101.65,0,4.31,2.51,0,0,3.23,0,0,0,0,35.31,0,0,0,0,0
