stage,epidermis,erythrocytes,eye,glial,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,5,0,1.01,3.29,0
 24-34,0,0,3.37,0,0,0,4.71,0,0,40.14,0,0,2.96,0
 36-46,0,1.18,8.92,0.84,0,0,0.7,0,4.46,27.64,0,0,4.54,0
 48-58,1.65,0,20.97,0.41,0,0,0.65,0,0,7.39,0,0,1.67,0.55
 60-70,0,0,17.63,4.77,2.56,0,0,1.43,1.22,27.57,0,0,0,0
 72-82,0,0,5.95,7.96,0.55,0,2.44,0,0,5.37,0,0,0,0
 84-94,0,0,0,0,0,0,2.86,0,0,0,0.65,0,0,0
 96-106,0,0,0.93,0.99,0,0,0,0,0,2.5,0,0,0,0
108-118,0.58,1.44,3.48,0,0,0.43,0,0,0,0.77,1.45,0,0,0
120,0,0,0,0,0,0,0,0,0,16.49,0,0,0,0
