stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,96.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0
  5-6,7.23,216.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,0,0,0,3.28,0,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,37.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,59.25,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,7.41,0,0,0,178.44,0,11.79,0,0,0,1.68,0,0,0,54.67,0,0,0,0,0
 24-34,0,0,0,11.65,406.69,0,12.66,0,0,0,0,0,0,1.37,0,0,0,0,0,0,6.71,0,0,5.45,1448.39,0,64.47,0,0,0,12.34,0,0,0.82,255.26,0,0,7.39,0,0
 36-46,0,0,0,14.37,215.93,0,161.35,0,1.39,1.66,0.61,0,0,1.14,1.19,1.03,0,0,0,0,13.41,0,0,3.53,4416.95,0,92.78,0,0,0,6.65,0,0,0,807.58,0,0,2.51,0,0.57
 48-58,0,0,0.44,17.09,404.67,0,719.74,2.28,0,8.54,45.52,0,0,6.9,0,0,0,0.44,0.8,6.79,29.49,0,1.03,9.76,6178.3,7,57.31,0,0,0,9,0,0,0,1187.75,0,0,1.6,0,4.95
 60-70,0,0,0.65,9.59,493.43,0,1556.93,0,7.07,2.77,73.81,0,0,0.62,1.16,0,0,0,0,2.19,30.41,0,0,0.9,7025.96,0,43.56,2.77,0,0,14.41,0,1.35,0,1251.54,0,0.9,1.1,0,3.3
 72-82,0,0,0.86,28.51,1395.25,0,1777.62,9.26,5.41,5.65,78.22,2.38,0,0.66,15.3,2.08,0,0,1.77,2.54,74.48,0.75,1.54,8.91,5779.64,0,60.59,2.62,0,0,7.57,0,0,0,814.74,2.08,0.9,3.84,4.25,45.41
 84-94,0,0,2.59,36.74,1047.12,0,1197.5,5.1,0,1.13,97.82,0.98,0,1.72,0.6,1.32,2.38,0,9.21,0,57.99,0,10.68,3.75,3564.2,0,62.98,16.87,0,0,15.58,0,0,7.91,466.94,0.9,1.91,10.99,4.46,0.59
 96-106,0,0,1.9,17.46,1704.51,0.56,984.98,1.45,2.44,3.64,74.96,5.51,0,11.2,8.1,1.06,0,0.95,10.33,0,61.87,2.26,3.03,0.57,3301.63,0,55.17,2.18,0,0.81,23.13,2.06,0,4.11,276.85,3.18,0,15.1,2.57,3.47
108-118,0,0,1.08,48.9,960.03,0,1031.67,6.52,0.54,4.51,79.27,4.37,0,0.49,8.54,3.13,6.12,3.59,1.77,0,45.4,0.43,1.62,4.41,4008.33,0,66.29,4.86,0,2.19,8.01,0,4.6,0,239.6,1.8,2.35,7.59,1.66,0.62
120,0,0,0,12.54,909.33,5.3,967.57,0,9.89,18.14,134.34,0,0,2.77,7.03,1.4,0,0,0,0,116.06,1.65,9.27,3.67,5318.54,0,35.48,3.1,19.84,0,15,0,4.78,0,328.78,0,8.19,28.38,10.35,0
