stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0
  5-6,0,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0
  7-9,4.21,15.85,0,0,0,0,4.21,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,63.89,0,0,0,16.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5,12.04,0,0,0,54.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.7,0,0,0,83.09,0,0,0,19.82,0,0,0,0,0,0,0
 14-21,0,0,0,18.14,4.18,0,5.63,0,0,0,3.12,0,0,0,0,0,0,0,17.75,10.68,0,0,3.36,105.27,1.23,0,0,0,0,4.82,1.52,3.15,0,12.18,30.66,0,0,0,0
 24-34,0,0,1.42,18.21,0.62,0,21.82,0,0.8,0,7.03,0,0,0.86,0,0.94,1.75,0,2.92,24.89,0.91,0,10.29,190.53,0.95,0.96,2.07,0,0,19.77,3.08,0,0,4.66,42.77,0,8.36,0,0
 36-46,0,0,0.63,15.17,0.79,0,12.92,1.88,0,0.78,6.4,0,0,0,0.56,21.37,0,0,0.61,19.44,0,0.89,8.76,88.59,0,1.01,0,0,0,16.71,0,1.31,0,0,31.75,1.37,2.62,0,0
 48-58,0,0,0,9.22,0.42,0,19.01,0,0,1.72,13.19,1.61,0,0.44,2.55,0.82,0,6.56,0,27.15,0,0.49,8.99,54.89,0,0,2.16,0,0,19.26,0,0,0.73,0,12.99,0,6.13,0,0
 60-70,0,0,0,5.17,0.63,0,19.76,0,0,0,10.26,2.6,0,0,4.65,2.43,0,0,0,45.38,1.43,0,0,13.63,0,0,0,0,1.92,6.8,0,0,0,0,2.47,0.8,0.83,0.59,5.99
 72-82,0,0,0,3.76,0,0,9.41,0.76,5.53,3.93,20.04,1.45,0,1.02,0,4.66,0,0,2.66,54.61,0,6.45,4.13,58.09,0,0,0.58,0,1.12,18.9,0,0,0,0,11.99,0,1,0,0
 84-94,0,0,0,12.09,2,0,6.18,0,7.22,0,16.89,0.99,0.91,1.5,0.59,0,1.09,6.45,0,29.35,0,0.76,3.13,21.79,0,0.6,0.6,0,0,26.16,0,1.96,0,0,2.62,0,7.73,0,0
 96-106,0,0,0,11.55,13,0.6,31.83,0,3.63,9.22,35.8,0.96,0,0,2.09,1.25,0,3.14,0,90.95,2.95,1.98,8.79,23.2,0.97,0,0,0,3,50.62,0,1.69,0,0,0,2.41,2.67,1.59,0
108-118,0,0,0,14.43,5.71,10.78,4.42,1.22,3.41,14.74,41.17,3.21,0,0,2.05,1.23,1.12,6.58,0,119.01,0,4.68,6.7,32.21,0,0.47,1.72,0,0,25.14,0,0,0.66,0,3.67,0,21.84,2.06,0
120,0,0,0,21.25,0,0,18.07,1.61,0,6.02,50.72,1.69,0,0,6.73,0,0,2.29,0,125.08,2.05,11.56,11.48,19.87,1.32,1.99,1.5,0,0,39.87,0,1.86,0,0,0,0,8.94,2.31,0
