stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle
  5-6,25.66,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.29,6.34,0,0
 36-46,0,0,0,0,0,0,0,1.23,0,2.51,1.11,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.91,0.41,0.73,0
 60-70,0,0,0,0,0,1.77,0,0,0,0,1.12,2.14,5.14,28.71
 72-82,0,0,0,0,0.8,0,1.67,1.19,0,0,1.56,0,0,1.79
 84-94,0,0,0,0,5.95,0,0,0.55,0,0,0,0.85,0,16.06
 96-106,0,0,0,0,0,0,0,1.38,0,0,7.12,0,0,28.03
108-118,0,0,3.44,1.07,2.58,0,0,0,0,0,4.74,0.82,0,139.61
120,0,0,0,0,0,0,19.08,0,12.45,0,0,0,0,48.17
