stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,111.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,196.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,0,0,0,0,0,15,0,0,0,0,15.93,0,0,0,0,0,0,0,0,0,0,0,150.56,11.1,0,0,56.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.7,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0,0,90.01,0,0,0,78.48,0,0,4.8,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.62,0,0,0,0,0,0,0.99,0,0,0,0.81,0,0.93,0,0,0,0,0,11.23,1.42,0,0,0,0,0,1.35,0,0,0,1.05,0,0,0,0.81,0,0
 24-34,0,0,1.47,1.52,4.01,0,0,0,0,0,0,2.03,0,0,0,0.72,0,0.66,0,0,0.77,1.03,0,0.77,76.93,0,1.64,5.37,0,0,9.76,0,3.44,0,0,4.98,0,0,0,0,0
 36-46,0,0,0,0,0,2.17,0,2.19,0,0,0.76,1.45,0,0,0,0,0,0.7,0,0,8.62,0,0,0.7,238.37,0,0,19.67,0,0,32.35,0,1.73,0,0,9.04,0,0,0,0,7.57
 48-58,0,0,0,0,7.98,0,0,17.85,1.13,1.37,14.51,1.87,0,0.84,0.38,0,0,1.1,6.94,6.11,31.19,0.39,0,0.38,420.83,1.63,2.97,3.18,0,0,11.6,0,3.33,0,0,31.44,0,0,2.15,0,4.42
 60-70,0,0,3.6,0,7.51,3.43,0,59.79,6.92,0,33.68,9.54,0,0.76,0.6,1.31,0,3.65,7.88,0,92.94,0,0,0.63,488.66,0,1.33,9.67,0,0.96,18.52,0,0,0,0,42.28,0,0,0,0,0
 72-82,0,0,5.2,0,8.11,37.83,7.81,71.02,0,4.31,28.25,21.25,0,0,2.19,2.05,0,3.91,17.89,0,104.42,1.89,0,1.45,543.38,0,0,12,0,0,15.18,0,0.76,0,0,42.23,2.86,2.47,0,0.85,0.99
 84-94,0.62,0,5.94,0,9.54,51.79,14.38,72.94,0.86,3.14,17.99,42.58,0.71,3.41,6.43,4.29,1.8,0,26.49,0,107.72,1.34,4.08,9.27,331.38,0,4.92,20.05,0,0,15.71,0,2.82,1.43,0,9.17,5.48,0.64,0,0,4.41
 96-106,0,0,6.55,0,33.27,72.42,10.86,89.81,1.69,2.91,17.59,57.68,0,0.99,0,0,0,3.49,50.79,0,111.99,0,0,1.42,267.26,0,1.95,9.62,0,4.62,33.9,0,3.61,0,0,7.23,11.78,3.54,0,0,11.73
108-118,0,0,4.68,0,52.71,28.21,54.02,63.55,7.01,2.14,29.5,73.07,0,0.56,3.8,0.81,0.43,0,85.43,0,133.63,7.6,3.07,3.64,242.11,0,1.02,17.74,0,0,16.2,0,2.24,0,0,7.86,1.14,0,0,0,16.66
120,1.12,0,14.14,0,96.61,24.65,20.3,63.5,13.42,4.66,70.43,90.8,0,0,14.23,1.25,0,0,81.74,0,163.07,4.4,0,5.98,402.74,0,1.32,28.64,0,0,42.33,0,1.83,0,0,0,9.33,0,6.49,0,0
