stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.57,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,12.13,0,4.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,178.87,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,56.54,0,0,6.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,105.9,27.59,0,0,0,0,0,0,0,16.22,0,0,0,0,35.34,0,0,0.95,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0
 24-34,0,0.67,45.27,0,0,0,0,0,0,0,0,4.32,0,0,0,0,38.35,0.65,0,0,0.78,0,0,0,0,0,1.91,0.63,2.9,0,0,0,0,0
 36-46,0,0,7.04,0,0,0,0,0,0,0,4.76,7.48,0,0,0,0,105.96,0,0,0,14.2,0,0,0,0,0,12.71,0,3.78,0,0,0,0,0
 48-58,0,0,4.44,0,1.03,0,0.43,0.84,0,0,14.24,5.6,0,0,0,0,106.73,0,0,0,14.37,0,0,0,0,0,1.21,0,12.38,0,0,0,0,0
 60-70,0,0,0,3.36,0,0,8.77,3.56,7.38,0,9.27,7.2,0,0,0,0,130.04,0,0.93,0,66.13,0,0,0,2.87,0,0,0,8.95,0,0,0,0,6.06
 72-82,0,2.47,3.31,3.63,0.68,0,4.67,0.58,0,0.5,12.22,13.6,0,0,0,0,236.86,4.51,0,0,56.27,0,0,0,28.85,0.96,0,0,16.15,0,0.94,0.94,0,1.31
 84-94,0,1.99,0,4.13,11.15,0,20.83,4.55,0,0,1.54,4.63,1.02,0,0,0,735.79,18.37,0,0,50.46,0,0,0,38.89,2.22,0,0,10.6,0,0,0,0,0
 96-106,0,6.93,0,9.78,4.45,0,21.14,7.08,0.76,3.23,14.52,0.57,0.99,0,0,1.9,1166.87,91.03,0.66,2,150.63,0,0,0,164.94,28.28,0,0,0,0,0,0.6,0,0
108-118,0,2.97,0.44,11.28,1.09,0.51,25.88,6.81,0.49,0.66,12.65,3.88,0,3.79,0.51,2.45,2321.67,78.53,2.5,1.46,131.04,0,0.91,0,138.87,8.23,1.1,0,11.62,4.86,0,0,0.55,3.31
120,0,1.73,0,14.04,0,15.5,15.13,7.31,0,0,0,0,0,0,0,0,1199.05,243.61,0,0,89.47,0,1.34,0,0,2.55,8.22,0,8.94,2.82,0,18.15,4.9,0
