stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,periderm,spinal_cord,taste,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0
 24-34,0.71,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0
 36-46,3.44,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0
 48-58,0,0,0.44,0,0,0,0,5.49,0.92,0,0,0,0,0,0
 60-70,2.53,0,0,0,1.41,0,0,27.69,3.02,0,0,0,0.8,0,0.9
 72-82,0.6,0,0,0.65,0,0.97,0,30.04,6.09,0,4.05,0,0,2.19,0
 84-94,1,2.48,0,0,0,1.04,0,41.71,5.55,0,0,0,0,1.78,0
 96-106,0.67,1.6,0,0,0.6,0,1.19,39.07,0,0,0,0,1.89,1.55,0
108-118,3.34,0,0,0,0,0.45,0.47,39.27,6.59,0,0,1.42,0.57,1.47,0
120,9.04,2.96,0,5.73,10.73,0,0,47.62,16.35,0,0,0,0,1.81,0
