stage,eye,liver,mesenchyme,neural
 36-46,0,0,0,4.38
 48-58,0,0,0,1.86
 60-70,0,0,0,5.47
 72-82,3.89,2.32,1.11,2.9
 84-94,2.94,2.28,0,3.48
 96-106,0,6.75,0,0
108-118,10.72,4.48,0,4.09
120,0,6.69,0,13.02
