stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,268.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0
  5-6,19.74,149.33,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,39.87,0,0,0,14.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,18.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.47,0,0,0,0,0,0,0,1.37,22.56,0,0,0,0,0,0.87,0,0,4.55,0.86,0,0,0
 24-34,0,0,0,0,0,0,1.45,0,0,1.92,0,0,0,5.9,20.86,0,0,0,0,0,0,0.7,4.67,9.87,9.49,0,0,0
 36-46,0,0,0,1,0,2.88,10.73,0,0,0.89,0,0,1.25,13.91,12.18,0,0,0,0,1.71,0,0.65,10.16,1.09,2.95,0,0,0
 48-58,0,0,0,0.49,0,1.58,5.2,0,1.04,0,0,0,1.57,1.94,18.13,0,0,0,0,0,0,0,2.76,0,5.48,0,0,0.5
 60-70,0,0,0,0,0,2.95,13.1,0,5.93,0,0,0,0,7.49,6.19,0,0,1.01,0,0,0,0,3.58,0,4.2,0,0,0
 72-82,0,0,0,0,1.45,20.34,42.94,0,13.8,0,0.65,0,8.76,10.08,29.02,0,0,0,0,0,0,0,6.06,0,2.74,0,0,0
 84-94,0,0,0,1.18,0,13.22,27.61,1.04,2.15,0,0,0.96,5.4,4.13,25.83,0,2.05,0,0,1.49,0,0,2.2,0,0,0,0,2.54
 96-106,0,0,0.9,0,8.02,10.9,32.87,0,15.57,1.55,1.3,0.57,9.73,5.88,16.46,1.64,0.81,1,10.66,11.09,0,0,1.92,0,0,0,0.67,0
108-118,0,0,0,0,0,16.71,36.71,0,10.82,3.91,0,7.11,0.86,5.8,20.85,0,0,0,0,0.59,0,0,0.96,0,0.72,1.99,0.7,0
120,0,0,0,1.59,0,21.33,53.66,0,0,0,0,4.67,12.07,20.04,29.17,0,0,0,0,0,0,0,1.6,0,0,0,2.01,0
