stage,blastomeres,glial,immune,mesenchyme,neural,olfactory,periderm
  3-4,126.14,0,0,0,0,0,12.22
  5-6,32.69,0,0,0,0,0,0
  7-9,0,0,0,0,13.13,0,0
 48-58,0,0,0,0,0.59,0,0
 60-70,0,0,0.72,0,1.33,0,0
 72-82,0,1.66,1.77,0.89,0,0,0
 84-94,0,0,5.66,0,0,0,0
 96-106,0,0,9.24,0,0,1.93,0
108-118,0,0,8.45,1.33,0,0,0
120,0,0,6.08,0,0,0,0
