stage,axial,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.48,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.22,0,0,0,0,105.16,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.38,0,0,0,8,34.19,0,0,0,0,0,0,0
 14-21,0,0,17.87,0,0,0,0,0,0.84,0,0.98,0,0,0,0,0,0,0,1.14,0,16.8,0,3.23,25.28,0,881.87,3.66,0.83,3.66,0,0,0,0
 24-34,0,2.2,21.06,0,2.31,0,0,0,1.72,0,0,0,0,0.89,3.1,0,0,0,2.62,1.21,34.14,0,7.87,6.92,0,408.15,12.71,0.67,5.23,0,0,2.16,9.12
 36-46,0,0.58,24.99,0,3.04,0,2.26,0,1.97,0,0,0,0.65,0,0.64,0,0,0.79,0.79,0,58.21,0,2.38,10.91,0,271.79,2.68,0,6.45,0,0,0.87,0
 48-58,0,0.4,12.64,0,7.51,1.17,0,0,1.93,0.37,0,0,0.41,1.38,0,0,0,3.01,0,0.4,28.69,0,4.23,8.53,0,105.8,1.07,0,7,0,0,0,0.84
 60-70,0,0,23.9,0,5.86,0,1.18,0,1.36,3.86,0,0,2.35,9.74,0,2.14,0,3.08,0.61,0,37.65,0,0,8.91,0,51.25,0,0,4.86,2.13,0,0,0
 72-82,0,0,15.49,0,13.1,0,0,0,1.73,2.27,0,0,0,7.09,0,2.41,0,7.91,0,2.29,25.31,1.37,0,5.1,0,35.61,0,0,6.6,1.59,0,0.8,0
 84-94,0,0,42.03,0,3.62,0,2.53,0,2.18,5.05,0,0,0.91,3.01,0,5.65,1.19,11.1,0,1,37.52,0,1.8,6.54,0,132.75,0,0,11.04,32.19,0.69,0,0
 96-106,0,0,72.88,2.5,4.23,0.71,2.78,0.85,0.73,6.36,0,1,2.59,4.43,2.99,10.31,0.69,3.32,0,0.62,17.15,0,7.82,8.74,0,90.25,0,0,0,26.73,0,0.86,0
108-118,0,0,72.62,0,10.17,0,0.58,0,2.28,20.23,0,0,2.16,19.01,0,40.09,0,9.05,1.81,0,40.37,0,4.86,5.05,0,88.34,1.62,0,0,43.27,0,0.65,0
120,0,0,30.05,0,3.03,0,0,0,2.89,6.68,0,0,0,8.82,1.12,3.51,0,2.07,0,0,44.23,2.11,0,9.96,0,76.72,0,0,0,16.82,0,2.37,0
