stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,86.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.97,146.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.53,9.6,0,13.59,0,0,26.1,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,247.65,4.17,0,0,52.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.89,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.83,0,0,0,14.87,0,0,9.7,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,0.84,2.69,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1,69.3,0,4.4,0,0.98,0,0,0,0,2.56,14.05,0,0,0,0,0
 24-34,0,0,0.61,0,2.56,0,4.15,0,0,0,2.58,0,0,0,0,0,0,0,0,0.69,3.87,0,0,0.65,1278.93,0,34.58,0,0,0,1.91,0,0,0,115.9,0,0,4.28,0,0
 36-46,0,0,0.98,0,3.89,0,100.81,0,0,0,13.74,0,0,0,0,0,0,0,0.59,0,12,0,0,0.63,5129.83,0,44.08,1.09,0,0,1.26,0,0,0,447.56,0,0,1.04,0,7.76
 48-58,0,0,0.44,0,34.97,3.18,650.55,0.65,9.54,1.65,86.93,0,0,0.52,5.21,0,9.86,0.38,1.98,4.13,29.18,0,8.67,2.63,8272.2,4.4,20.34,4.7,0,0,6.56,0,0,0,929.02,0,0,6.82,0,5.99
 60-70,0,0,2.46,0,17.29,0,1253.57,0,0,0,27.37,0,0,0,1.46,0,0,2.33,0,2.53,44.61,0,2,9.06,10304.3,5.48,25.3,0,0,0,13.54,1.84,0,0,1260.77,0.77,0.79,11.51,0,7.7
 72-82,0,0,0.87,0,28.54,4.72,857.17,7.1,0,0.93,64.57,0,0,0,0,0,0,0,5.37,0,34.25,0,0,4.18,6208.9,0,12.22,2.04,0,2.13,10.02,0,0,0,837.2,1.58,1.79,6.66,0,0
 84-94,0,0,3.23,0,22.3,2.13,662.14,0,0.69,1.68,67.36,0,1.3,3.32,0.65,0,9.96,0.66,8.68,0,33.16,0.76,5.67,16.64,3821.59,0,13.88,1.88,0,2.02,20.31,0,1.03,0,492.19,3.15,2.41,3.09,1.4,8.23
 96-106,0,0,0,0,8.53,0,402.16,0,0,1.3,36.87,0.64,0,0,0,0,0,1.94,9.06,0,28.46,0,4.23,2.86,2368.7,0,12.6,6.74,0,0,9.75,0,0,0,168.43,1.01,0,1.91,4.03,1.22
108-118,0,0,3.15,0,30.57,1.19,387.85,0,2.18,1.23,15.04,0,0,0.56,1.7,0.45,2.75,0.63,0.7,0,32.54,0,2.56,1.51,2551.51,0,18.6,0,0,0,14.43,0,0,0,77.42,0,0,0,0,0
120,0,0,0,0,18.99,3.12,633.51,7.84,1.11,0,125.56,0,0,0,0,0,0,0,0,1.79,24.73,0,0,8.24,4098.62,0,21.33,0,0,0,6.72,0,0,0,147.08,0,0,0,0,0
