stage,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0
 14-21,0,0,0,0,0,0.87,0,0,0,0,1.14,0,0,0
 24-34,0,0.62,0,0,0,4.17,0,32.37,0,0,4.49,0,0,0
 36-46,0,1.18,0,0,0,0,1.47,64.39,0,0,5.82,0,0,0
 48-58,0,7.02,0.89,0,0,2.65,0,202.68,0,0,9.05,0,0,0
 60-70,0,34.24,5.94,0,0,6.27,0,360.45,0,0,20.93,0,0.68,0
 72-82,2.56,33.74,13.08,0.56,0,6.45,0,377.34,0,0,18.56,0,0,0
 84-94,0.8,48.42,7.9,0,0,5.24,0,181.96,0,0,3.92,0,0,0
 96-106,0,29.34,7.09,0,0,1.87,1.54,299.7,0,0,3.02,4.84,0,0
108-118,0,42.54,8.49,0,0,0.62,0,309.8,4.07,0,0,0,0,1.03
120,0,35.41,22.14,0,3.53,3.66,0,270.23,0,0,2.1,0,0,0
