stage,erythrocytes,eye,liver,neural,periderm
 72-82,0,0,2.83,0,0
 84-94,0,1.46,6.37,0.98,0
 96-106,6.6,7.59,20.6,1.17,0
108-118,0,0,21.95,1.58,0.56
120,0,0,18.03,0,0
