stage,blastomeres,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,21.3,0,0,0,0,0,0,0,0,0,0,0,20.94,0
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.83,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.61,0,3.94,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99
 24-34,0,0,0,0,0,0,0,0,1.32,13.2,0,0,0,2.16
 36-46,0,0,1.08,1.13,0,0,0,0,0,10.21,0,0,15.42,4.61
 48-58,0,0,5.21,0.51,0.65,1.14,0,1.97,0.39,42.25,0,0,2.31,9.2
 60-70,0,0,14.64,0,0,2.6,0,1.6,0,105.47,0,0,3.89,8.32
 72-82,0,0,25.54,0,0,4.83,0,2.35,0.71,146.34,0,0,0,5.62
 84-94,0,0,19.46,0,0,0,1.1,0,0,89.28,0,0,0,15.91
 96-106,0,0,17.9,0,0,1.5,0,3.22,0,94.29,0.62,0,0,4.9
108-118,0,1.4,12,0,0,3.26,0,12.81,0,108.08,1.31,0,1.12,1.31
120,0,0,20.42,0,0,0,0,0,1.56,85.43,0,0,0,7.89
