stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,12.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0
 14-21,1.21,0.88,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,0,0,1.51,0,0,0,0
 24-34,1.75,1.93,0,0,0,0,0,0,0,0,0,1.62,0,7.26,0,0,1.8,0.7,0,0,0,0,0
 36-46,0,9.03,0,0,0,0,0,0,0,0,0,6.06,0,7.77,0,0,1.8,0,0,2.59,0,0,0.81
 48-58,0,3.25,0,0,0,0,0,0,0,0,1.13,0.59,0,6.34,0,0,0.68,0,0,1.29,0,0,0
 60-70,0,16.12,0.81,0,0,11.49,0,0,0.6,0,0.59,0,0,2.64,0,0,0,0,0,0,0,2.52,0
 72-82,0,10.84,0,0,1.31,1.64,0,0,0,0,0,4.96,0.57,7.14,0,0,3.13,0,0,0,0,2.37,0
 84-94,0.59,0.63,0,0.62,0,5.54,0.82,0.93,0,0,1.11,11.22,0,11.75,0,0,5,0,0,0,1.23,0,0
 96-106,0,6.29,0,0,0,1.62,0,0,0,0,0,0,0,3,0.69,0,4.88,0,0,0,0,0,0.79
108-118,2.33,11.23,0,0,0,0,0,0,5.87,0.76,0,0,1.89,13.07,0,0,4.3,0,0,0,0,1.56,5.03
120,2.55,0,0,0,0,18.38,1.31,0,0,4.74,0,0,3.76,13.74,0,0,1.03,0,0,5.77,0,0,0
