stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,183.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,0,0,0,0,0
  5-6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,49.97,8.99,0,0,3.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,0,0,4.22,0,0,0,0,0,0,0
 14-21,0,0,0.88,0.87,4.01,0,0.92,0,0,0,0,0,3.02,0.81,16.75,0,0,0,0,0,0,0.91,2.33,0,2.02,0
 24-34,0,0,0,3.85,0,0,0.75,0,0,0,0,0,0.89,0,24.88,0,0,0,0,0,0,0,3.91,0,0,0
 36-46,0,0,0,0,0,0,1.81,1.42,1.63,0,0,0,3.32,0.57,33.03,0,2.61,0,0,0,3.48,0,4.63,0,0,0
 48-58,0,0,0,0.95,0,0,17.52,0.96,2.08,0,0,0,3.43,0,40.83,0,0,0.4,0,0,0.43,0,6.84,0,0,0
 60-70,0,0,0,6.72,0,0,11.33,0,9.81,0,0,4.64,6.06,0,47.16,0,0,0,0,1.22,2.58,0,2.51,0,0,0
 72-82,0,2.25,0,0,0.5,0,10.59,0,2.57,0,0,0,3.74,0,21.34,0,0.98,0.53,0,2.23,0,0,3.38,0,1.18,0.76
 84-94,0,0,0,0,2.48,0,8.21,0,7.7,4.57,0.56,0,5.82,0,11.66,0,0,0,0,0,1.78,0,0,2.36,0,0.92
 96-106,0,0,0,1.21,9.67,0,2.42,0,1.12,1.27,2.84,0,1.78,0,23.94,0,0.89,0,0,0,3.89,0,0,0,0.82,0
108-118,0,4.83,0,0,0,0.45,1.95,0,0.96,0.46,0.8,0,2.62,0,30.92,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.35,0,13.33,0,0,1.09,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,1.48,0
