stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.81,0,0,0,18.58,0,0,0,6.67,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,52.28,3.67,0,53.59,0,0,0,12.18,1.79,1.35,0,0,2.2,0,0,0,1.01,29.82,0,0,32.64,427.86,8.74,0,1.07,8.92,0,6.35,96.05,0,0,139.68,112.32,0,0,0,0,0
 24-34,0,1.67,0,6.92,0,0,48.06,0,0,0.63,5.44,1.5,0,0,2.28,0,0.77,0,0,0,31.5,0,0,15.89,326.03,0.74,1.44,4.33,0,0,6.16,0,0,0,7.57,71.55,0,0,1.77,0,1.48
 36-46,0,0,0,5.16,0,0,53.15,2.67,0,0,5.16,0.67,0,5.59,0,14.55,0.61,0,17.45,0,23.4,0,0,4.98,197.4,1.33,0.65,0,0,0,27.27,0,0,0,0,34.41,0,0,2.93,0,1.44
 48-58,0,0,0,10.46,0,0,90.02,0,0,1.5,17.29,0.92,0,1.83,8.87,0,0,0,0,0,42.82,0,8.3,6.37,180.65,1.45,2.14,0.69,0,0,10.67,0,0,3.22,0,33.03,0,0,7.06,0.78,6.84
 60-70,0,0,0,19.9,0,0,89.64,0.68,0,0.62,39.24,1.05,0,0,0,3.3,0,0,2.11,0,29.78,0,4.8,8.79,174.7,0,0,1.42,0,0,6.01,0,1.17,0,0,17.04,0,0,0,0,0
 72-82,0,0,0,5.76,0,0,54.05,0,0,1.48,26.06,1.27,0,1.45,1.2,0.52,0,2.68,2.73,0,48.87,2.33,2.32,10.68,119.52,0,0,1.11,0,0.71,4.13,0,0,0,0,23.22,0.69,1.01,1.55,1.42,8.66
 84-94,0,0,0,3.64,0.66,0,45.13,0,0.63,2.77,15.56,6.41,0,2.41,10.07,2.61,0,0.66,0,0,57.42,1.48,8.52,12.19,112.15,0,1.88,1.56,0,0,22.18,0,0,0,0,21.16,2.4,0,2.79,0.63,0
 96-106,0,0,0,12.51,8.48,0.77,38.81,0,0,3.3,28.78,0.74,0,1.72,10.09,2.87,0,2.28,10.72,0,85.08,0,10.33,13.72,101.21,0.62,1.8,0.91,0,0,13.95,0,0,0,0,15.44,1.77,0.87,1.04,1.06,6.99
108-118,0,0,0,17.63,0.95,3.93,66.36,1.42,4.12,5.31,41.38,3.47,0,2.49,3.99,0.45,1.77,0,1.2,0,106.31,4.07,1.08,21.75,199.18,0,0.57,0.87,0,2.29,16.18,0,0,0.69,0,11.47,0.81,0,10.56,2.12,3.92
120,1.19,0,0,57.73,12.54,0,91.53,0,8.4,7.8,80.96,0,0,0,4.01,2.02,2.28,4.23,1.34,0,249.33,0,10.4,63.06,490.57,3.8,4.61,15.46,0,2.67,32.22,0,0,0,0,29.7,0,0,20.38,2.57,2.34
