stage,epidermis,eye,fin_mesenchyme,glial,gut,mesenchyme,neural,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,1.14,0.81,0,0
 24-34,0,0,0,0,0,0.67,1.37,0,0,0
 36-46,0,0,0,0,0,0,0.67,0,0,0
 48-58,0,0,0,0,0,0,0.99,0,0,0
 60-70,0,3.66,0,0,0,0.59,1.55,0,1.68,0.72
 72-82,0,0,0,2.11,0,0,1.9,0,0,0
 96-106,0.77,0,0,0,0,2.34,2.96,0,0,0
108-118,0,0,0.53,0,0.78,2.14,0,0,0,4.07
