stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,79.94,740.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74,0,0,0,0
  5-6,0,223.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.63,0,0,4.57,0,11.76,0,0,0,0,0,0,0,0,40,0,0,0,8.73,0,5.74,0,0,0
 10-12,0,7.49,0,0,0,38.6,0,0,3.06,0,0,0,0,0,122.3,0,0,0,8.51,0,3.78,0,0,0
 14-21,0,0,0,0,2.77,3.16,0,0,0,0,0,0,0,0.87,6.95,0,0,0,0,0,2.37,0,0.85,3.7
 24-34,0,0,0,0.79,0,3.51,0.64,0,0,0,0,0.86,0.65,0,28.11,0,0,0.68,0,1.87,0,0.6,0,7.53
 36-46,0,0,0,0,0,0.85,2.37,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,1.85
 48-58,0,0,0,0,0,1.81,0.71,0.41,0,0,0,0.37,0,0,10.21,0,0,0,0,0,0,0,0,0.84
 60-70,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.62,0,0,2.83,0,0,0,0,0.52,0,0,0.88,7.5,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,8.47,0,0,0,0.62,0,0,0,4.08,0,0.8,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.68,0,2.11,0,0,9.86,1.43,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.54,3.23,0,0,0,0,1.27,0,0,4.21,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,21.03,0,0,0,0,1.05,0,0,0,0
