stage,axial,blastomeres,epidermis,eye,glial,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.67,133.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,188.24,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,12.41,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,68.98,0,0,0,19.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,58.26,0,0,0,8.2,0,0,0,0,0,0,0
 14-21,0,0,3.44,1.81,0,0,0,0,0,0,0,0,0,36.42,0.94,0,0,0,0,0.81,1.75,6.09,0,0,0
 24-34,0,0,1.38,7.41,0,0,0,0,2.16,0,0.73,0,1.77,51.2,0,3.21,0,0,0.69,0,0.64,5.3,0,0,0
 36-46,0,0,2.43,10.08,2.54,0,0,0,0,0,5.16,0,0,23.53,0,0,0,0,0,0,0,10.27,0,0.58,0
 48-58,0,0,9.69,8.02,1.15,0,0,0,0,0,0.48,0,7.39,31.45,0,0,0,0,1.19,0,0,3.74,0,0,0
 60-70,0,0,0,12.48,5.29,0,5.12,0,0,0,12.59,0,2.53,26.96,0,0,1.97,0,0.71,0,0,0,0.83,0,0
 72-82,0,0,5.18,4.13,2.98,0,0,0,0,0,3.82,0,0,16.37,0,0,0,0,0,0,0,0,1.21,0,0.93
 84-94,0.62,0,0,0,0.66,0,0,0,0,0,5.76,0,1.23,10.83,0,0,0,0,0,0,0,0.63,0,0,0
 96-106,0,0,0,0,0,1.22,0,1.13,0,0,1.12,0,0,0,0,0,0,0,0,0,0,4.07,0,3.41,0
108-118,0,0,0,0,0.44,0,0,0,0,0.87,0,0.46,0.55,13.67,0,0,0,0,0,0,0,0,0,1.07,0
120,0,0,2.69,0,4.54,0,0,0,0,0,0,0,0,17.81,0,0,0,0,0,0,0,0,0,0,4.27
