stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0.91,23.92,0,0,0,0,0,0,1,0.84,0,16.83,0,0,0,0,2.12,0,0,0,71.31,0,0.84,1.15,0,0,54.04,1.74,123.7,0,0,0,0,0
 24-34,0,1.79,0,0,53.91,2.03,0,0,0,0,0,0,3.27,0,35.9,0,0,0,0,2.8,3.37,0,1.88,649.76,0.67,4.86,7.14,0,0,33.4,0.67,283.58,0,0,4.24,0,5.99
 36-46,0,0,0,10.51,20.61,38.03,0,0.98,0,23.85,0,0,0.56,2.89,38.59,0,0,0,0,11.3,0.89,0,1.71,2441.51,0.64,14.6,2.68,0,12.24,15.68,0,751.55,0,0,0,0,2.82
 48-58,0,2.14,0,12.64,29.51,216.07,0.37,2.05,3.29,118.22,0,0,0,0,14.11,0,0.4,0,0,16.82,0.42,0.54,1.51,2332.43,0,7.21,2.54,0,4.9,12.73,0,840.91,0,0,0,0,4.16
 60-70,0,0.7,0,2.35,27.33,1048.91,0,0,0.8,275.53,0,0,1.29,0.65,8.85,2.13,0,7.63,0,40.78,1.27,5.65,8.2,2793.7,0,7.36,7.51,0,5.38,11.95,0,825.04,0,3.04,0,0.81,1.17
 72-82,0,0.86,0,23.29,36.23,1406.49,0,0,0.94,259.71,0,0,1.08,3.51,9.99,3.36,0,4.64,0,42.53,0,1.28,1.5,1830.66,0,17,8.86,0,4.58,4.04,0,270.6,0,6.25,3.59,3.68,12.97
 84-94,0,0,0,4.28,66.52,974.11,1.83,0.6,1.18,255.28,0,0.64,0,0,13.96,1.34,0,9.04,0.72,27.61,1.21,6.14,3.89,1248.76,0,3.25,12.97,0,3.6,10.59,0,197.98,1.17,12.58,0.97,3.29,7.71
 96-106,0,0.63,0,10.12,63.22,1111.97,0,2.21,0,268.18,2.68,0,0,2.39,18.15,0,2.29,0,14.09,32.3,0,2.17,0,1043.85,0,17.66,12.25,4.67,4.49,6.94,0,86.7,2.29,4.25,7.61,1.44,0.62
108-118,0,1.48,0,19.34,26.4,1165.74,0,0,0,274.37,0.94,0,0,0.99,19.33,0,0,2.56,0,17.39,0.77,1.44,0.75,1343.29,0,3.74,16.56,9.44,6.98,6.02,0,93.51,3.96,5.17,2.38,0,0
120,0,0,0,6.13,74.51,772.73,1.01,11.58,5.31,391.01,0,0,0,12.98,20.85,0,1.74,0,0,60.71,0,0,2.96,1789.74,0,1.26,10.4,0,0,4.9,0,91.43,0,5.03,0,0,0
