stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,85.56,672.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.72,0,0,0,0,0,0,0,0,0,0
  5-6,27.29,558.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.77,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.51,44.68,0,10.91,0,0,0,93.57,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,643.43,26.15,0,0,204.63,0,0,10.42,0,0,0,0,0,0,0,0,0
 10-12,0,37.07,0,46.64,0,5.18,0,145.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.37,18.02,0,0,329.77,0,4.05,0,0,109.82,0,0,0,0,0,0,0
 14-21,0,0,1.89,2.18,11.53,23.65,0,8.92,0,0,0,3.64,0,0,0,0,0.95,0,0,0,0,26.67,0,0,21.53,194.04,1.73,0,3.14,5.05,0,0,0.91,16.48,0.82,11.21,51.71,0,0,5.66,0,0
 24-34,0,0,0,0,13.86,3.99,0,36.63,0,0,1.37,6.09,0,0,2.33,0.6,1.49,0,2.44,0.61,11.43,82.31,0,0,9.84,667.56,2.12,2.69,4.87,0,0,0,0,0,1,5.42,119.69,0,0,28.68,0,0
 36-46,0,0,0,0,13.28,2.8,0,55.69,0,0,3.16,24.22,0,0,0.6,0,0,0.71,0.6,0,0,48.23,0,0,10.35,671.43,1.29,2.71,1.74,0,0,0,0,0,0,0,129.8,0,0,10.77,0,0
 48-58,0,0,0,0,5.63,0.45,0,142.19,0.51,1.3,0,17.31,2.14,0,0.5,0,0,0,0,0,0,45.41,0,0.56,6.14,455.8,0,4.57,1.01,0,0.56,1.21,0,0,0.56,0,91.19,0,0,9.42,0,0
 60-70,0,0,0,0,2.26,3.42,0,293.45,0,0,0.85,33.82,0,0,3.77,0,0,0,0,1.32,0,77.12,0,7.36,2.53,651.07,0,0,0,0,0,0,0,0,0,0,107.69,0,2.21,0.68,0,0
 72-82,0,0,1.69,0,6.97,34.22,0,312.36,0,0,6.24,20.72,0.76,0,7.84,0,0,0.64,0.6,3.06,0,120.12,0,2.38,6.53,584,0,3.27,0.6,0,0,0,0,0,0,0,123.23,1.21,1.81,15.77,1.93,0
 84-94,0,0,3.4,0,5.68,18.74,0,186.9,0,2.07,2.39,12.99,9.58,0.76,5.78,2.53,2.07,0.73,0,0,0,103.77,0,7.71,4.46,369.41,0,7.34,2.13,0,0,1.46,0,0,0.64,0,48.79,0,3.39,41.29,3.3,0
 96-106,0,0,0,0,9.72,45.52,0,126.64,0,0,2.73,13.39,0,0,5.16,1.14,1.51,1.36,0,0,7.05,72.27,0,0,3.84,202.2,0,2.85,1.87,0,0,1.22,3.82,0,0,0,13.46,0,6.99,19.89,1.98,0.8
108-118,0,0,0,0,10.63,36.34,0.59,140.76,0,1.63,1.87,13.86,1.3,0,3.1,1.9,14.67,0,0,0,0,87.02,6.5,0,2.77,439.31,0.45,0,0.66,0,0,0,0,0,0,0,11.08,0.41,0,33.01,1.57,3.13
120,0,0,0,0,10.24,17.24,2.68,216.01,0,0,0,20.05,0,0,17.48,10.36,4.46,0,2.05,8.08,0,124.41,0,4.29,12.65,631.73,6.85,2.15,0,0,0,0,0,0,0,0,42.62,3.87,0,40.4,0,0
