stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.63,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,3.62,6.16,3.45,0,0,0,1.07,0,0,0,0
 36-46,0,0,0,0,0,0,5.32,0,0,0,0,0,135.58,0,0,0,0.83,0,0,7.94,0,0,0,0,0,3.47,0,0,0,0
 48-58,0,0,0,0,0,0,6.34,0,0,0,0,0,209.89,3.85,0,0,0.87,0,0,8.04,0,0,0,0,0,2.48,0,0,0,2.15
 60-70,0,0,0,0,0,0,23.5,0,0,0,5.7,0,475.78,1.71,0,0,4.07,0,0.97,42.9,0.58,0,0,0.82,0,0,0.73,1.1,0,0
 72-82,0,0,0,5.44,3.83,0,4.75,3.39,0,1.68,63.63,0.49,417.07,0,0,0,7.29,0,0,81.79,0,1.04,8.17,0,0,0,0,1.77,0,6.27
 84-94,0,0,0,0,0,0,2.52,0,0,0,39.46,1.16,833.67,0.66,0,0,15.86,3.56,0,71.97,0,0,0,0,0.62,0,0,1.13,0,0
 96-106,0,1.41,0,5.94,14.79,0,9.26,0,0.56,0,109.5,3.71,893.5,3.02,0,18.54,20.42,0,1.51,93.77,0,0.59,2.22,5.78,10.65,0,0,5.39,1.26,0
108-118,0,0,0,2.89,5.92,0,24.54,0,0,0,89.54,2.87,1202.95,2.45,0,0.84,8.92,0,0,54.45,0,0,0,1.56,0,0.47,0,1.45,0,0
120,0,0,0,3.67,2.28,1.09,9.78,0,0,0,143.68,7.53,806.05,11.68,1.74,3.92,0,0,5.07,104.76,0,0,0,0,0,1.95,0,6.34,0,0
