stage,axial,blastomeres,epidermis,erythrocytes,eye,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,14.29,304.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,0,0,0,14.68,0,0,105.21,0,23.24,5.09,0,0,0,0
 10-12,0,24.7,0,5.18,5.72,0,0,178.96,16.72,46.71,0,0,12.87,0,0
 14-21,0,0,1.92,0,0,0,1.76,6.17,0,0,0,0.85,0,1.69,0
 24-34,0,0,0,0,0,0,0.86,6.5,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.56,0,0,0.8,0,0,0,0,0,3.74,2.14
 48-58,0,0,0,0,0.51,3.61,0,0,0,0,4.11,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0
